"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Suarez/Abed","Fernández Sagasti/Tanus","Ramón/Vadillo","Barbeito/Sosa"
"Luis Petri","Positiva",0.375,0.391,0.358,0.261,0.328,0.461,0.471,0.335,0.377,0.405,0.175,0.556,0.238,0.545,0.155,0.216,0.142
"Luis Petri","Neutra",0.297,0.254,0.344,0.342,0.282,0.291,0.293,0.316,0.316,0.261,0.329,0.245,0.398,0.283,0.304,0.397,0.268
"Luis Petri","Negativa",0.241,0.272,0.208,0.314,0.265,0.189,0.191,0.216,0.227,0.279,0.401,0.142,0.271,0.122,0.452,0.351,0.459
"Luis Petri","No sabe",0.087,0.083,0.09,0.083,0.125,0.059,0.045,0.133,0.08,0.055,0.095,0.057,0.093,0.05,0.089,0.036,0.131
"Alfredo Cornejo","Positiva",0.383,0.385,0.38,0.304,0.353,0.406,0.51,0.322,0.39,0.43,0.12,0.604,0.375,0.602,0.091,0.156,0.325
"Alfredo Cornejo","Neutra",0.192,0.159,0.227,0.22,0.217,0.14,0.176,0.21,0.191,0.178,0.132,0.193,0.287,0.179,0.136,0.151,0.092
"Alfredo Cornejo","Negativa",0.396,0.439,0.352,0.403,0.405,0.445,0.303,0.429,0.399,0.364,0.728,0.199,0.338,0.216,0.749,0.685,0.516
"Alfredo Cornejo","No sabe",0.029,0.017,0.041,0.073,0.025,0.009,0.011,0.039,0.02,0.028,0.02,0.004,0,0.003,0.024,0.008,0.067
"Omar De Marchi","Positiva",0.299,0.32,0.275,0.199,0.316,0.366,0.272,0.285,0.272,0.34,0.168,0.364,0.361,0.378,0.119,0.363,0.127
"Omar De Marchi","Neutra",0.305,0.285,0.328,0.29,0.255,0.316,0.413,0.307,0.339,0.267,0.323,0.289,0.361,0.306,0.333,0.246,0.322
"Omar De Marchi","Negativa",0.332,0.348,0.315,0.409,0.353,0.276,0.284,0.32,0.307,0.37,0.467,0.304,0.252,0.283,0.501,0.379,0.472
"Omar De Marchi","No sabe",0.064,0.047,0.082,0.102,0.076,0.042,0.031,0.088,0.082,0.023,0.042,0.043,0.026,0.033,0.047,0.012,0.079
"Daniel Orozco","Positiva",0.173,0.188,0.157,0.177,0.15,0.174,0.217,0.137,0.177,0.201,0.091,0.213,0.359,0.226,0.075,0.303,0.022
"Daniel Orozco","Neutra",0.302,0.292,0.314,0.237,0.306,0.334,0.318,0.398,0.274,0.254,0.355,0.275,0.176,0.295,0.323,0.074,0.475
"Daniel Orozco","Negativa",0.344,0.375,0.308,0.424,0.354,0.292,0.311,0.321,0.323,0.386,0.38,0.351,0.269,0.322,0.418,0.314,0.366
"Daniel Orozco","No sabe",0.181,0.145,0.221,0.162,0.19,0.2,0.154,0.144,0.226,0.159,0.174,0.161,0.196,0.157,0.184,0.309,0.137
