"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Suarez/Abed","Fernández Sagasti/Tanus","Ramón/Vadillo","Barbeito/Sosa"
"Alfredo Cornejo a gobernador y Hebe Casado a vicegobernadora por Cambia Mendoza",0.243,0.237,0.25,0.222,0.221,0.261,0.301,0.222,0.257,0.248,0.151,0.359,0.192,0.335,0.09,0.104,0.188
"Luis Petri a gobernador y Patricia Giménez a vicegobernadora por Cambia Mendoza",0.209,0.221,0.198,0.13,0.225,0.263,0.215,0.198,0.201,0.232,0.09,0.313,0.19,0.299,0.08,0.121,0.053
"Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por “La Unión Mendocina”",0.169,0.174,0.163,0.18,0.164,0.174,0.154,0.125,0.162,0.225,0.193,0.141,0.361,0.154,0.203,0.344,0.114
"Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza",0.109,0.103,0.116,0.129,0.121,0.07,0.108,0.114,0.123,0.087,0.196,0.061,0.065,0.061,0.237,0.176,0.008
"Guillermo Carmona a gobernador y Liliana Paponet a vicegobernadora por Elegí Mendoza",0.059,0.07,0.047,0.054,0.053,0.065,0.07,0.053,0.07,0.05,0.141,0.024,0.004,0.023,0.163,0.029,0.02
"Nicolás Guillén a gobernador y Lorena Martin a vicegobernadora por Elegí Mendoza",0.028,0.028,0.028,0.055,0.023,0.017,0.016,0.035,0.03,0.018,0.026,0.019,0.044,0.023,0.031,0.026,0.106
"Alfredo Guevara a gobernador y Patricia Galván a vicegobernadora por Elegí Mendoza",0.024,0.018,0.03,0.018,0.019,0.032,0.03,0.022,0.016,0.036,0.035,0.02,0.013,0.019,0.044,0.049,0.018
"Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda",0.017,0.014,0.02,0.021,0.013,0.01,0.032,0.022,0.016,0.013,0.014,0.004,0.006,0.007,0.009,0.015,0.287
"Victor da Vila a gobernador y Nadya Ortiz Gazzo a vicegobernadora por el Frente de Izquierda",0.011,0.013,0.009,0.011,0.012,0.011,0.011,0.012,0.011,0.01,0.003,0.01,0.009,0.006,0,0.067,0.07
"No sabe",0.131,0.122,0.139,0.18,0.149,0.097,0.063,0.197,0.114,0.081,0.151,0.049,0.116,0.073,0.143,0.069,0.136
