"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P25","Nunca lo votaría",0.411,0.502,0.674,0.811,0.905,0.439
"P25","No sabe",0.258,0.215,0.225,0.146,0.045,0.525
"P26","Lo votaría",0.061,0.057,0.035,0.021,0.015,0
"P26","Puede que lo vote",0.256,0.269,0.075,0.019,0.045,0.012
"P26","Nunca lo votaría",0.408,0.476,0.7,0.818,0.884,0.431
"P26","No sabe",0.275,0.198,0.19,0.142,0.056,0.557
"P27","Lo votaría",0.026,0.021,0.014,0.009,0.027,0
"P27","Puede que lo vote",0.181,0.188,0.056,0.022,0.016,0.039
"P27","Nunca lo votaría",0.497,0.543,0.683,0.811,0.897,0.425
"P27","No sabe",0.296,0.248,0.247,0.158,0.06,0.536
"P28","Lo votaría",0.033,0.007,0.01,0.002,0.033,0
"P28","Puede que lo vote",0.084,0.157,0.031,0.057,0.005,0.034
"P28","Nunca lo votaría",0.601,0.542,0.71,0.803,0.898,0.459
"P28","No sabe",0.282,0.294,0.249,0.138,0.064,0.507
"P29","La votaría",0.058,0.063,0.062,0.239,0.214,0.041
"P29","Puede que la vote",0.08,0.144,0.123,0.111,0.105,0.045
"P29","Nunca la votaría",0.586,0.566,0.534,0.493,0.596,0.315
"P29","No sabe",0.276,0.227,0.281,0.157,0.085,0.599
"P30","La votaría",0.032,0.069,0.053,0.106,0.103,0.023
"P30","Puede que la vote",0.056,0.164,0.075,0.174,0.135,0.077
"P30","Nunca la votaría",0.62,0.528,0.528,0.541,0.661,0.315
"P30","No sabe",0.292,0.239,0.344,0.179,0.101,0.585
"P31","Lo votaría",0.112,0.096,0.092,0.092,0.136,0.04
"P31","Puede que lo vote",0.139,0.337,0.135,0.161,0.045,0.122
"P31","Nunca lo votaría",0.708,0.456,0.501,0.626,0.738,0.333
"P31","No sabe",0.041,0.111,0.272,0.121,0.081,0.505
"P32","Lo votaría",0.61,0.161,0.037,0.016,0.048,0.007
"P32","Puede que lo vote",0.143,0.283,0.121,0.048,0.032,0.03
"P32","Nunca lo votaría",0.193,0.416,0.576,0.786,0.879,0.368
"P32","No sabe",0.054,0.14,0.266,0.15,0.041,0.595
"P33","La votaría",0.176,0.101,0.053,0.025,0.05,0.007
"P33","Puede que la vote",0.109,0.189,0.093,0.036,0.03,0.052
"P33","Nunca la votaría",0.45,0.449,0.515,0.742,0.844,0.327
"P33","No sabe",0.265,0.261,0.339,0.197,0.076,0.614
"P34","La votaría",0.043,0.03,0.039,0.043,0.024,0
"P34","Puede que la vote",0.11,0.189,0.058,0.021,0.002,0
"P34","Nunca la votaría",0.494,0.463,0.521,0.73,0.879,0.35
"P34","No sabe",0.353,0.318,0.382,0.206,0.095,0.65
"P35","La votaría",0.053,0.046,0.026,0.013,0.006,0
"P35","Puede que la vote",0.078,0.175,0.086,0.021,0.003,0.067
"P35","Nunca la votaría",0.503,0.447,0.535,0.717,0.869,0.273
"P35","No sabe",0.366,0.332,0.353,0.249,0.122,0.66
"P36","La votaría",0.068,0.047,0.053,0.031,0.044,0.01
"P36","Puede que la vote",0.195,0.298,0.091,0.02,0.035,0.016
"P36","Nunca la votaría",0.606,0.475,0.693,0.809,0.884,0.532
"P36","No sabe",0.131,0.18,0.163,0.14,0.037,0.442
"P37","La votaría",0.039,0.013,0.011,0.002,0.003,0
"P37","Puede que la vote",0.067,0.149,0.026,0.029,0.012,0.015
"P37","Nunca la votaría",0.589,0.484,0.637,0.721,0.893,0.402
"P37","No sabe",0.305,0.354,0.326,0.248,0.092,0.583
"P38","Muy buena",0.06,0.102,0.241,0.32,0.278,0.204
"P38","Buena",0.047,0.201,0.193,0.18,0.136,0.097
"P38","Ni buena ni mala",0.122,0.131,0.214,0.161,0.158,0.275
"P38","Mala",0.199,0.168,0.164,0.237,0.096,0.147
"P38","Muy mala",0.572,0.336,0.185,0.102,0.332,0.17
"P38","No sabe",0,0.062,0.003,0,0,0.107
"P39","Muy buena",0.133,0.061,0.223,0.205,0.225,0.124
"P39","Buena",0.075,0.278,0.188,0.284,0.15,0.122
"P39","Ni buena ni mala",0.301,0.299,0.373,0.211,0.287,0.23
