"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Suarez/Abed","Fernández Sagasti/Tanus","Ramón/Vadillo","Barbeito/Sosa"
"Alfredo Cornejo por Cambia Mendoza",0.273,0.261,0.284,0.238,0.241,0.293,0.369,0.222,0.278,0.323,0.098,0.454,0.182,0.44,0.066,0.113,0.068
"Luis Petri por Cambia Mendoza",0.124,0.117,0.131,0.059,0.117,0.17,0.179,0.109,0.129,0.135,0.061,0.186,0.111,0.178,0.059,0.067,0.041
"Omar De Marchi por La Unión Mendocina",0.163,0.197,0.13,0.187,0.184,0.146,0.102,0.145,0.158,0.19,0.157,0.14,0.246,0.167,0.13,0.291,0.252
"Omar Parisi por Elegí Mendoza",0.083,0.071,0.095,0.112,0.069,0.069,0.093,0.058,0.104,0.085,0.219,0.025,0.035,0.021,0.265,0.113,0.012
"Guillermo Carmona por Elegí Mendoza",0.075,0.09,0.061,0.053,0.067,0.093,0.105,0.063,0.078,0.085,0.15,0.039,0.078,0.032,0.194,0.058,0.04
"Nicolás Guillén por Elegí Mendoza",0.013,0.014,0.013,0.021,0.013,0.008,0.009,0.01,0.017,0.012,0.014,0.014,0.012,0.012,0.017,0.01,0.015
"Alfredo Guevara por Elegí Mendoza",0.03,0.033,0.027,0.022,0.03,0.042,0.024,0.03,0.024,0.038,0.051,0.015,0.06,0.018,0.065,0.088,0.014
"Lautaro Giménez por el Frente de Izquierda",0.025,0.018,0.031,0.047,0.016,0.009,0.031,0.039,0.015,0.021,0.016,0.006,0.046,0.011,0.008,0.055,0.404
"Victor da Vila por el Frente de Izquierda",0.009,0.011,0.007,0.003,0.01,0.012,0.012,0.014,0.006,0.008,0.005,0.006,0.016,0.004,0.004,0.034,0.062
"No sabe",0.205,0.188,0.221,0.258,0.253,0.158,0.076,0.31,0.191,0.103,0.229,0.115,0.214,0.117,0.192,0.171,0.092
