"var","categoria","Del Frente de Todos y el peronismo","De Juntos por el cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P31","Lo votaría",0.054,0.074,0.134,0,0.103
"P31","Puede que lo vote",0.166,0.152,0.114,0.097,0.168
"P31","Nunca lo votaría",0.604,0.632,0.487,0.734,0.307
"P31","No sabe",0.176,0.142,0.265,0.169,0.422
"P32","Lo votaría",0.301,0.011,0.015,0,0.021
"P32","Puede que lo vote",0.227,0.026,0.038,0.08,0.109
"P32","Nunca lo votaría",0.288,0.819,0.639,0.749,0.463
"P32","No sabe",0.184,0.144,0.308,0.171,0.407
"P33","La votaría",0.192,0.003,0.003,0,0.02
"P33","Puede que la vote",0.164,0.022,0.056,0.059,0.09
"P33","Nunca la votaría",0.369,0.774,0.615,0.753,0.37
"P33","No sabe",0.275,0.201,0.326,0.188,0.52
"P34","La votaría",0.064,0.025,0.034,0,0.007
"P34","Puede que la vote",0.095,0.011,0.027,0.164,0.113
"P34","Nunca la votaría",0.417,0.737,0.646,0.561,0.378
"P34","No sabe",0.424,0.227,0.293,0.275,0.502
"P35","La votaría",0.055,0,0.013,0,0.025
"P35","Puede que la vote",0.107,0.018,0.04,0.074,0.142
"P35","Nunca la votaría",0.428,0.738,0.643,0.859,0.294
"P35","No sabe",0.41,0.244,0.304,0.067,0.539
"P36","La votaría",0.098,0.003,0.012,0.481,0.044
"P36","Puede que la vote",0.215,0.017,0.013,0.064,0.156
"P36","Nunca la votaría",0.517,0.885,0.798,0.421,0.382
"P36","No sabe",0.17,0.095,0.177,0.034,0.418
"P37","La votaría",0.017,0.004,0.005,0.198,0.002
"P37","Puede que la vote",0.055,0.011,0.028,0.102,0.094
"P37","Nunca la votaría",0.516,0.793,0.687,0.612,0.405
"P37","No sabe",0.412,0.192,0.28,0.088,0.499
"P38","Muy buena",0.009,0.501,0.14,0.209,0.115
"P38","Buena",0.018,0.249,0.147,0.011,0.202
"P38","Ni buena ni mala",0.107,0.15,0.295,0.114,0.252
"P38","Mala",0.233,0.055,0.234,0.09,0.242
"P38","Muy mala",0.612,0.042,0.153,0.576,0.093
"P38","No sabe",0.021,0.003,0.031,0,0.096
"P39","Muy buena",0.047,0.352,0.124,0.19,0.104
"P39","Buena",0.074,0.312,0.164,0.062,0.165
"P39","Ni buena ni mala",0.3,0.228,0.331,0.295,0.398
"P39","Mala",0.137,0.042,0.203,0.19,0.102
"P39","Muy mala",0.376,0.026,0.065,0.263,0.035
"P39","No sabe",0.066,0.04,0.113,0,0.196
"P40","Muy buena",0.048,0.14,0.167,0.308,0.114
"P40","Buena",0.071,0.217,0.213,0.08,0.183
"P40","Ni buena ni mala",0.351,0.293,0.27,0.081,0.352
"P40","Mala",0.171,0.193,0.181,0.054,0.078
"P40","Muy mala",0.325,0.131,0.096,0.477,0.073
"P40","No sabe",0.034,0.026,0.073,0,0.2
"P41","Muy buena",0.214,0.012,0.03,0.02,0.013
"P41","Buena",0.215,0.037,0.052,0,0.146
"P41","Ni buena ni mala",0.299,0.313,0.33,0.278,0.405
"P41","Mala",0.08,0.266,0.259,0.164,0.098
"P41","Muy mala",0.109,0.233,0.171,0.538,0.085
"P41","No sabe",0.083,0.139,0.158,0,0.253
"P42","Muy buena",0.287,0.001,0.005,0,0.047
"P42","Buena",0.304,0.025,0.045,0.039,0.12
"P42","Ni buena ni mala",0.195,0.245,0.267,0.142,0.344
"P42","Mala",0.087,0.321,0.267,0.258,0.134
"P42","Muy mala",0.059,0.312,0.247,0.561,0.087
"P42","No sabe",0.068,0.096,0.169,0,0.268
"P43","Muy buena",0.064,0.003,0.006,0,0.045
"P43","Buena",0.096,0.008,0.021,0.035,0.095
"P43","Ni buena ni mala",0.423,0.285,0.306,0.206,0.391
"P43","Mala",0.098,0.205,0.246,0.209,0.073
"P43","Muy mala",0.093,0.211,0.167,0.469,0.067
"P43","No sabe",0.226,0.288,0.254,0.081,0.329
"P44","Muy buena",0.131,0.002,0,0,0.007
"P44","Buena",0.133,0.008,0.003,0.061,0.085
"P44","Ni buena ni mala",0.325,0.267,0.267,0.261,0.304
"P44","Mala",0.108,0.19,0.234,0.134,0.127
"P44","Muy mala",0.076,0.265,0.239,0.422,0.092
"P44","No sabe",0.227,0.268,0.257,0.122,0.385
"P45","Muy buena",0.086,0.001,0.002,0.245,0.008
"P45","Buena",0.095,0.013,0.005,0.101,0.067
"P45","Ni buena ni mala",0.332,0.268,0.303,0.276,0.387
"P45","Mala",0.114,0.211,0.203,0.029,0.091
"P45","Muy mala",0.11,0.218,0.221,0.328,0.082
"P45","No sabe",0.263,0.289,0.266,0.021,0.365
"P46","Muy buena",0.029,0.012,0.007,0.198,0.005
"P46","Buena",0.041,0.017,0.003,0.06,0.061
"P46","Ni buena ni mala",0.337,0.261,0.293,0.299,0.414
"P46","Mala",0.119,0.156,0.195,0.115,0.079
"P46","Muy mala",0.113,0.189,0.217,0.248,0.059
"P46","No sabe",0.361,0.365,0.285,0.08,0.382
"P47","Muy buena",0.007,0.162,0.02,0,0.005
"P47","Buena",0.042,0.138,0.047,0,0.133
"P47","Ni buena ni mala",0.239,0.279,0.317,0.413,0.364
"P47","Mala",0.123,0.115,0.155,0.014,0.06
"P47","Muy mala",0.358,0.07,0.224,0.472,0.071
"P47","No sabe",0.231,0.236,0.237,0.101,0.367
"P48","Muy buena",0.014,0.066,0.005,0,0.002
"P48","Buena",0.031,0.101,0.009,0.014,0.064
"P48","Ni buena ni mala",0.361,0.296,0.351,0.408,0.493
"P48","Mala",0.14,0.137,0.143,0.067,0.048
"P48","Muy mala",0.164,0.097,0.208,0.365,0.057
"P48","No sabe",0.29,0.303,0.284,0.146,0.336
"P49","Muy buena",0.033,0.081,0.107,0,0.053
