"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Suarez/Abed","Fernández Sagasti/Tanus","Ramón/Vadillo","Barbeito/Sosa"
"Del Frente de Todos y el peronismo",0.237,0.225,0.248,0.272,0.218,0.219,0.248,0.222,0.247,0.241,0.646,0.042,0.132,0.062,0.752,0.265,0.099
"De Juntos por el cambio",0.295,0.272,0.317,0.17,0.244,0.384,0.494,0.221,0.291,0.389,0.089,0.519,0.251,0.487,0.063,0.092,0.095
"De los Liberales libertarios",0.241,0.342,0.145,0.305,0.291,0.195,0.088,0.247,0.25,0.222,0.085,0.284,0.285,0.289,0.079,0.358,0.098
"De la Izquierda",0.031,0.028,0.034,0.038,0.033,0.013,0.039,0.056,0.017,0.021,0.017,0.014,0.051,0.02,0.011,0.07,0.385
"No sabe",0.196,0.133,0.256,0.215,0.214,0.189,0.131,0.254,0.195,0.127,0.163,0.141,0.281,0.142,0.095,0.215,0.323
