"var","categoria","Alfredo Cornejo por Cambia Mendoza","Luis Petri por Cambia Mendoza","Omar De Marchi por La Unión Mendocina","Omar Parisi por Elegí Mendoza","Guillermo Carmona por Elegí Mendoza","Nicolás Guillén por Elegí Mendoza","Alfredo Guevara por Elegí Mendoza","Lautaro Giménez por el Frente de Izquierda","Victor da Vila por el Frente de Izquierda","No sabe"
"P08","Del Frente de Todos y el peronismo",0.058,0.055,0.199,0.876,0.662,0.298,0.522,0.176,0.076,0.149
"P08","De Juntos por el cambio",0.624,0.497,0.18,0.083,0.066,0.275,0.09,0.055,0,0.058
"P08","De los Liberales libertarios",0.225,0.263,0.448,0.003,0.132,0.387,0.092,0.015,0.333,0.264
"P08","De la Izquierda",0.001,0.014,0.027,0.002,0.018,0.04,0.148,0.642,0.206,0.004
"P08","No sabe",0.092,0.171,0.146,0.036,0.122,0,0.148,0.112,0.385,0.525
"P09","A Sergio Massa",0.431,0.25,0.326,0.235,0.277,0.292,0.332,0.031,0,0.224
"P09","A Daniel Scioli",0.031,0.243,0.225,0.062,0.234,0.109,0,0,0,0.043
"P09","A algún candidato del peronismo",0.281,0.019,0.202,0.15,0.158,0.207,0.14,0,0,0.383
"P09","A algún candidato del kirchnerismo",0.257,0.488,0.247,0.553,0.331,0.392,0.528,0.969,1,0.35
"P10","A Horacio Rodriguez Larreta",0.158,0.122,0.377,0.173,0,0,0,0,0,0.313
"P10","A Patricia Bullrich",0.712,0.793,0.547,0.599,0.827,0.852,1,0,0,0.44
"P10","A Facundo Manes",0.067,0.06,0.057,0.228,0.173,0.148,0,0,0,0.247
"P10","A Gerardo Morales",0.063,0.025,0.019,0,0,0,0,1,0,0
"P14","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernadora por Cambia Mendoza",0.591,0.086,0.144,0.047,0.06,0.303,0.134,0.13,0,0.113
"P14","Luis Petri a gobernador y Patricia Giménez a vicegobernadora por Cambia Mendoza",0.196,0.739,0.146,0.052,0.143,0.082,0.007,0,0,0.099
"P14","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por “La Unión Mendocina”",0.081,0.078,0.512,0.203,0.125,0.085,0.147,0.068,0,0.098
"P14","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza",0.05,0.035,0.081,0.57,0.071,0.257,0.155,0.009,0.24,0.079
"P14","Guillermo Carmona a gobernador y Liliana Paponet a vicegobernadora por Elegí Mendoza",0.005,0.018,0.016,0.076,0.537,0.011,0.011,0.006,0.115,0.025
"P14","Nicolás Guillén a gobernador y Lorena Martin a vicegobernadora por Elegí Mendoza",0.025,0.021,0.057,0.012,0.022,0.209,0,0,0,0.019
"P14","Alfredo Guevara a gobernador y Patricia Galván a vicegobernadora por Elegí Mendoza",0.016,0.003,0.018,0.014,0.007,0,0.462,0,0,0.001
"P14","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda",0.004,0.01,0.013,0,0,0.042,0.025,0.441,0.027,0.001
"P14","Victor da Vila a gobernador y Nadya Ortiz Gazzo a vicegobernadora por el Frente de Izquierda",0.001,0.005,0.001,0,0.003,0,0,0.053,0.427,0.022
"P14","No sabe",0.031,0.005,0.012,0.026,0.032,0.011,0.059,0.293,0.191,0.543
"P17","Alfredo Cornejo por Cambia Mendoza con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri y una parte de la UCR",0.596,0.202,0.071,0.041,0.039,0.181,0.115,0.06,0.094,0.066
"P17","Luis Petri por Cambia Mendoza con el apoyo de Julio Cobos y una parte de la UCR",0.044,0.521,0.026,0.025,0.048,0.073,0.039,0.024,0.035,0.028
"P17","Omar De Marchi por La Unión Mendocina con el apoyo de una parte del PRO y de Javier Milei",0.127,0.113,0.665,0.069,0.059,0.292,0.084,0.054,0,0.279
"P17","Omar Parisi por Elegí Mendoza con el apoyo de Anabel Fernández Sagasti y una parte del kirchnerismo",0.047,0.039,0.093,0.738,0.237,0.048,0.198,0.075,0.082,0.122
"P17","Guillermo Carmona por Elegí Mendoza con el apoyo de Emir y Omar Félix, y una parte del PJ",0.017,0.015,0.029,0.045,0.523,0,0.031,0,0.077,0.06
"P17","Nicolás Guillén por Elegí Mendoza con el apoyo de la Corriente Clasista y Combativa, y los movimientos sociales",0.005,0.008,0.036,0.004,0.027,0.262,0,0.133,0.108,0
"P17","Alfredo Guevara por Elegí Mendoza con el apoyo de una parte del kirchnerismo",0.135,0.052,0.031,0.045,0.023,0.1,0.476,0,0,0.031
"P17","Lautaro Giménez por el Frente de Izquierda con el apoyo de Nicolás Del Caño, Myriam Bregman, el Partido Socialista de los Trabajadores y el Movimiento Socialista de los Trabajadores",0.003,0.01,0.008,0,0.003,0.044,0.019,0.402,0.169,0
"P17","Victor da Vila por el Frente de Izquierda con el apoyo de Gabriel Solano, Romina Del Plá y el Partido Obrero",0.002,0,0.006,0,0,0,0,0,0.245,0.004
"P17","No sabe",0.024,0.04,0.035,0.033,0.041,0,0.038,0.252,0.19,0.41
"P20","Lo votaría",0.792,0.286,0.112,0.156,0.149,0.308,0.041,0.191,0.167,0.116
"P20","Puede que lo vote",0.101,0.277,0.236,0.094,0.043,0,0.109,0.021,0.101,0.109
"P20","Nunca lo votaría",0.037,0.315,0.574,0.705,0.765,0.656,0.709,0.733,0.546,0.486
"P20","No sabe",0.07,0.122,0.078,0.045,0.043,0.036,0.141,0.055,0.186,0.289
"P21","Lo votaría",0.176,0.723,0.091,0.102,0.093,0.226,0,0,0,0.041
"P21","Puede que lo vote",0.327,0.165,0.254,0.11,0.179,0.131,0.096,0,0.121,0.143
"P21","Nunca lo votaría",0.344,0.078,0.512,0.649,0.629,0.561,0.862,0.861,0.599,0.382
"P21","No sabe",0.153,0.034,0.143,0.139,0.099,0.082,0.042,0.139,0.28,0.434
"P22","Lo votaría",0.059,0.092,0.605,0.123,0.067,0.292,0.034,0,0,0.091
"P22","Puede que lo vote",0.209,0.295,0.17,0.141,0.235,0.108,0.127,0,0.219,0.154
"P22","Nunca lo votaría",0.635,0.495,0.144,0.653,0.592,0.414,0.708,1,0.475,0.318
"P22","No sabe",0.097,0.118,0.081,0.083,0.106,0.186,0.131,0,0.306,0.437
"P23","Lo votaría",0.017,0.024,0.074,0.762,0.139,0.054,0.098,0.028,0.137,0.045
"P23","Puede que lo vote",0.051,0.106,0.143,0.091,0.337,0.099,0.39,0.02,0.034,0.099
"P23","Nunca lo votaría",0.783,0.697,0.607,0.104,0.361,0.765,0.466,0.794,0.475,0.392
"P23","No sabe",0.149,0.173,0.176,0.043,0.163,0.082,0.046,0.158,0.354,0.464
"P24","Lo votaría",0.023,0.005,0.075,0.29,0.529,0.114,0.087,0.052,0,0.019
"P24","Puede que lo vote",0.027,0.095,0.105,0.393,0.2,0.2,0.59,0.033,0.033,0.084
"P24","Nunca lo votaría",0.837,0.819,0.628,0.265,0.076,0.436,0.264,0.782,0.518,0.411
"P24","No sabe",0.113,0.081,0.192,0.052,0.195,0.25,0.059,0.133,0.449,0.486
"P25","Lo votaría",0.022,0,0.029,0.059,0.041,0.319,0.071,0.071,0,0.035
"P25","Puede que lo vote",0.008,0.019,0.065,0.209,0.182,0.011,0.388,0.125,0,0.063
"P25","Nunca lo votaría",0.807,0.881,0.65,0.489,0.439,0.455,0.289,0.74,0.576,0.414
"P25","No sabe",0.163,0.1,0.256,0.243,0.338,0.215,0.252,0.064,0.424,0.488
"P26","Lo votaría",0.009,0,0.023,0.03,0.038,0.011,0.531,0.036,0,0.029
