"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Suarez/Abed","Fernández Sagasti/Tanus","Ramón/Vadillo","Barbeito/Sosa"
"A Horacio Rodriguez Larreta",0.169,0.178,0.161,0.155,0.226,0.149,0.105,0.213,0.12,0.183,0.207,0.166,0.195,0.157,0.223,0.228,0.032
"A Patricia Bullrich",0.704,0.718,0.692,0.602,0.685,0.739,0.772,0.687,0.696,0.728,0.657,0.713,0.706,0.712,0.777,0.631,0.342
"A Facundo Manes",0.078,0.075,0.08,0.135,0.05,0.091,0.065,0.041,0.115,0.07,0.103,0.067,0.099,0.076,0,0.103,0.626
"A Gerardo Morales",0.049,0.029,0.067,0.108,0.039,0.021,0.058,0.059,0.069,0.019,0.033,0.054,0,0.055,0,0.038,0
