"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P06","Mucho",0.485,0.413,0.388,0.351,0.371,0.268,0.25
"P06","Bastante",0.279,0.317,0.286,0.274,0.192,0.167,0.266
"P06","Poco",0.202,0.235,0.28,0.305,0.375,0.425,0.296
"P06","Nada",0.021,0.029,0.041,0.06,0.02,0.103,0.174
"P06","No sabe",0.013,0.006,0.005,0.01,0.042,0.037,0.014
"P07","Siempre",0.266,0.269,0.25,0.208,0.137,0.25,0.189
"P07","Casi siempre",0.435,0.423,0.333,0.446,0.384,0.31,0.308
"P07","Casi nunca",0.24,0.244,0.307,0.295,0.35,0.288,0.315
"P07","Nunca, pero esta es una excepción",0.059,0.064,0.11,0.051,0.129,0.152,0.188
"P09","Gran excedente habitual",0.022,0.009,0.015,0.003,0.003,0,0
"P09","Gran excedente excepcional",0.016,0.009,0.01,0.02,0,0.002,0.007
"P09","Pequeño excedente habitual",0.094,0.068,0.047,0.048,0.011,0.027,0.027
"P09","Pequeño excedente excepcional",0.159,0.121,0.11,0.108,0.195,0.091,0.101
"P09","Alcanza gastos familia",0.114,0.138,0.103,0.08,0.135,0.085,0.107
"P09","No alcanza gastos familia",0.079,0.069,0.075,0.115,0.079,0.154,0.118
"P09","Solo NBFamiliares",0.25,0.284,0.291,0.334,0.187,0.168,0.282
"P09","No alcanza NBFamiliares",0.261,0.298,0.343,0.292,0.386,0.462,0.335
"P09","No sabe",0.005,0.004,0.006,0,0.004,0.011,0.023
"P10","Tiene Decidido que va a ir a votar",0.912,0.895,0.9,0.825,0.82,0.651,0.688
"P10","Tiene dudas sobre si va a ir a  votar",0.067,0.081,0.071,0.154,0.112,0.191,0.215
"P10","Tiene Decidido que no va a ir a votar",0.021,0.024,0.029,0.021,0.068,0.158,0.097
"P13","Unión por la Patria",0.797,0.063,0.107,0.058,0.02,0.029,0.034
"P13","Juntos por el Cambio ",0.077,0.694,0.077,0.096,0.068,0.012,0.087
"P13","Liberales",0.038,0.18,0.597,0.055,0.013,0.01,0.027
"P13","Izquierda",0.018,0.019,0.019,0.28,0.336,0.029,0.055
"P13","Hacemos por Nuestro país",0.02,0.019,0.148,0.388,0.473,0.125,0.109
"P13","No sabe",0.05,0.025,0.052,0.123,0.09,0.795,0.688
"P17","Totalmente seguro",0.743,0.693,0.7,0.531,0.488,0.182,0.221
"P17","Bastante seguro",0.131,0.151,0.151,0.133,0.145,0.102,0.054
"P17","Algo seguro",0.094,0.12,0.099,0.139,0.111,0.117,0.096
"P17","Para nada seguro",0.032,0.036,0.05,0.197,0.256,0.599,0.629
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.162,0.483,0.624,0.314,0.412,0.245,0.233
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.135,0.302,0.154,0.214,0.065,0.127,0.133
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.436,0.114,0.097,0.261,0.189,0.114,0.126
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.147,0.025,0.043,0.081,0.185,0.278,0.161
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.07,0.034,0.036,0.074,0.113,0.036,0.027
"P36","No sabe",0.05,0.042,0.046,0.056,0.036,0.2,0.32
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.852,0.128,0.142,0.274,0.287,0.221,0.092
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.063,0.788,0.513,0.22,0.158,0.131,0.135
"P37","En blanco",0.05,0.045,0.258,0.252,0.238,0.268,0.098
"P37","No sabe",0.035,0.039,0.087,0.254,0.317,0.38,0.675
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.215,0.767,0.15,0.255,0.133,0.129,0.122
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.091,0.142,0.741,0.195,0.191,0.144,0.03
"P38","En blanco",0.491,0.064,0.077,0.305,0.305,0.312,0.119
"P38","No sabe",0.203,0.027,0.032,0.245,0.371,0.415,0.729
