"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Centro","Norte","Sur","Buenos Aires"
"Muy buena",0.068,0.076,0.061,0.08,0.08,0.053,0.055,0.099,0.071,0.038,0.075,0.067,0.061,0.095,0.155,0.009,0.075,0.053,0.075,0.106,0.061,0.048
"Buena",0.114,0.108,0.119,0.079,0.101,0.135,0.143,0.154,0.117,0.073,0.141,0.101,0.038,0.13,0.149,0.117,0.065,0.075,0.123,0.105,0.13,0.107
"Regular",0.201,0.205,0.197,0.199,0.204,0.216,0.176,0.215,0.183,0.208,0.38,0.086,0.152,0.357,0.329,0.045,0.08,0.093,0.184,0.189,0.173,0.224
"Mala",0.242,0.224,0.259,0.207,0.235,0.233,0.304,0.264,0.226,0.241,0.252,0.235,0.249,0.267,0.264,0.163,0.354,0.187,0.246,0.248,0.234,0.239
"Muy mala",0.375,0.387,0.364,0.435,0.38,0.363,0.322,0.268,0.403,0.44,0.152,0.511,0.5,0.151,0.103,0.666,0.426,0.592,0.372,0.352,0.402,0.382
