"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.295,0.384,0.205,0.31,0.233,0.481,0.128,0.356,0.254,0.287,0.445,0.139,0.2,0.247,0.237,0.651,0.475,0,0.403,0.203,0,0.275
"Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.248,0.203,0.294,0.295,0.111,0.204,0.519,0.353,0.271,0.08,0.106,0.371,0.394,0.247,0,0.349,0.492,1,0.21,0.231,0.104,0.33
"Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.128,0.117,0.138,0.049,0.288,0.071,0.011,0.007,0.219,0.13,0.023,0.348,0.104,0,0,0,0.008,0,0.207,0.109,0.026,0.061
"Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.101,0.091,0.11,0.172,0.02,0.022,0.257,0.125,0.118,0.042,0.019,0.024,0.219,0,0.763,0,0,0,0.014,0.203,0.87,0.006
"En blanco",0.12,0.133,0.107,0,0.285,0.088,0.037,0.157,0.04,0.204,0.407,0.011,0.02,0,0,0,0.008,0,0.023,0.231,0,0.188
"No sabe",0.108,0.072,0.146,0.174,0.063,0.134,0.048,0.002,0.098,0.257,0,0.107,0.063,0.506,0,0,0.017,0,0.143,0.023,0,0.14
