"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Centro","Norte","Sur","Buenos Aires"
"Muy positivo",0.159,0.182,0.137,0.192,0.163,0.165,0.116,0.167,0.149,0.164,0.272,0.09,0.057,0.354,0.219,0.035,0.059,0.238,0.161,0.111,0.131,0.179
"Positivo",0.218,0.216,0.22,0.191,0.228,0.231,0.201,0.23,0.205,0.221,0.334,0.137,0.284,0.287,0.399,0.107,0.117,0.172,0.217,0.233,0.176,0.218
"Neutral",0.298,0.285,0.31,0.355,0.302,0.272,0.277,0.278,0.305,0.308,0.206,0.365,0.258,0.163,0.257,0.355,0.457,0.202,0.298,0.267,0.347,0.303
"Algo negativo",0.099,0.107,0.092,0.09,0.092,0.106,0.112,0.086,0.11,0.098,0.052,0.133,0.168,0.072,0.051,0.18,0.124,0.163,0.103,0.121,0.124,0.085
"Negativo",0.116,0.131,0.102,0.084,0.107,0.113,0.166,0.123,0.098,0.13,0.039,0.184,0.086,0.091,0.019,0.238,0.133,0.17,0.121,0.153,0.083,0.103
"No sabe",0.11,0.079,0.139,0.088,0.108,0.113,0.128,0.116,0.133,0.079,0.097,0.091,0.147,0.033,0.055,0.085,0.11,0.055,0.1,0.115,0.139,0.112
