"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa y Javier Milei",0.435,0.468,0.403,0.535,0.467,0.388,0.335,0.416,0.436,0.45,0.675,0.25,0.402,0.623,0.632,0.109,0.307,0.382,0.406,0.413,0.383,0.474
"Patricia Bullrich y Javier Milei",0.417,0.393,0.44,0.333,0.386,0.46,0.505,0.39,0.432,0.425,0.167,0.612,0.444,0.166,0.144,0.77,0.556,0.473,0.418,0.375,0.449,0.43
"Sergio Massa y Patricia Bullrich",0.148,0.139,0.157,0.132,0.147,0.152,0.16,0.194,0.132,0.125,0.158,0.138,0.154,0.211,0.224,0.121,0.137,0.145,0.176,0.212,0.168,0.096
