"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Centro","Norte","Sur","Buenos Aires"
"Totalmente seguro",0.67,0.694,0.647,0.665,0.66,0.673,0.694,0.613,0.656,0.742,0.704,0.696,0.578,0.77,0.653,0.743,0.575,0.655,0.672,0.632,0.702,0.681
"Bastante seguro",0.138,0.133,0.143,0.132,0.138,0.146,0.135,0.161,0.134,0.121,0.128,0.146,0.188,0.119,0.206,0.142,0.184,0.193,0.129,0.151,0.151,0.138
"Algo seguro",0.105,0.102,0.108,0.101,0.117,0.096,0.096,0.124,0.111,0.08,0.091,0.105,0.131,0.083,0.099,0.084,0.133,0.08,0.108,0.112,0.067,0.105
"Para nada seguro",0.087,0.071,0.102,0.102,0.085,0.085,0.075,0.102,0.099,0.057,0.077,0.053,0.103,0.028,0.042,0.031,0.108,0.072,0.091,0.105,0.08,0.076
