"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Centro","Norte","Sur","Buenos Aires"
"No, ninguna dificultad",0.307,0.334,0.281,0.334,0.288,0.301,0.328,0.257,0.252,0.413,0.381,0.266,0.309,0.493,0.508,0.366,0.345,0.35,0.336,0.226,0.395,0.304
"Alguna dificultad ocasional",0.32,0.315,0.325,0.298,0.334,0.311,0.325,0.322,0.316,0.323,0.286,0.343,0.321,0.243,0.263,0.351,0.456,0.32,0.316,0.342,0.291,0.319
"Sí, dificultades frecuentes",0.373,0.351,0.394,0.368,0.378,0.388,0.347,0.421,0.432,0.264,0.333,0.391,0.37,0.264,0.229,0.283,0.199,0.33,0.348,0.432,0.314,0.377
