"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Centro","Norte","Sur","Buenos Aires"
"Muy positivo",0.307,0.286,0.327,0.317,0.307,0.329,0.268,0.307,0.318,0.295,0.502,0.182,0.1,0.468,0.427,0.106,0.24,0.157,0.292,0.278,0.268,0.333
"Positivo",0.237,0.251,0.223,0.227,0.23,0.23,0.267,0.255,0.221,0.238,0.243,0.225,0.364,0.189,0.304,0.202,0.179,0.224,0.233,0.274,0.22,0.229
"Neutral",0.273,0.27,0.276,0.268,0.286,0.278,0.246,0.231,0.277,0.306,0.155,0.352,0.353,0.21,0.199,0.422,0.314,0.28,0.283,0.24,0.375,0.265
"Algo negativo",0.054,0.056,0.052,0.062,0.047,0.05,0.066,0.043,0.076,0.041,0.03,0.078,0.012,0.03,0.023,0.096,0.05,0.143,0.06,0.061,0.015,0.052
"Negativo",0.094,0.108,0.08,0.097,0.092,0.08,0.114,0.109,0.077,0.098,0.049,0.128,0.107,0.085,0.036,0.152,0.147,0.191,0.092,0.112,0.087,0.089
"No sabe",0.035,0.029,0.042,0.029,0.038,0.033,0.039,0.055,0.031,0.022,0.021,0.035,0.064,0.018,0.011,0.022,0.07,0.005,0.04,0.035,0.035,0.032
