"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Centro","Norte","Sur","Buenos Aires"
"Muy positiva",0.359,0.368,0.351,0.355,0.384,0.382,0.284,0.363,0.349,0.368,0.531,0.231,0.229,0.557,0.525,0.161,0.229,0.295,0.337,0.296,0.366,0.399
"Positiva",0.216,0.215,0.218,0.249,0.203,0.212,0.225,0.206,0.201,0.243,0.231,0.199,0.301,0.119,0.222,0.169,0.27,0.326,0.228,0.202,0.233,0.211
"Neutral",0.195,0.201,0.189,0.221,0.195,0.174,0.202,0.212,0.206,0.168,0.123,0.25,0.162,0.135,0.178,0.232,0.143,0.157,0.197,0.219,0.178,0.186
"Algo negativa",0.07,0.069,0.07,0.067,0.061,0.082,0.071,0.04,0.073,0.092,0.036,0.099,0.07,0.089,0.044,0.16,0.131,0.164,0.081,0.082,0.048,0.06
"Negativa",0.108,0.114,0.101,0.077,0.104,0.097,0.153,0.103,0.109,0.11,0.038,0.172,0.137,0.086,0.014,0.226,0.179,0.058,0.109,0.137,0.081,0.099
"No sabe",0.052,0.033,0.071,0.031,0.053,0.053,0.065,0.076,0.062,0.019,0.041,0.049,0.101,0.014,0.017,0.052,0.048,0,0.048,0.064,0.094,0.045
