"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Centro","Norte","Sur","Buenos Aires"
"Muy positivo",0.329,0.313,0.344,0.35,0.324,0.341,0.304,0.326,0.337,0.323,0.543,0.184,0.135,0.541,0.544,0.14,0.157,0.194,0.323,0.293,0.303,0.35
"Positivo",0.219,0.228,0.211,0.202,0.231,0.219,0.212,0.229,0.21,0.221,0.246,0.2,0.225,0.17,0.231,0.17,0.149,0.191,0.207,0.272,0.219,0.21
"Neutral",0.216,0.21,0.223,0.217,0.222,0.219,0.203,0.211,0.222,0.215,0.099,0.292,0.312,0.135,0.13,0.3,0.337,0.212,0.223,0.211,0.231,0.212
"Algo negativo",0.089,0.095,0.082,0.098,0.076,0.085,0.111,0.068,0.1,0.094,0.044,0.124,0.113,0.028,0.048,0.187,0.132,0.145,0.092,0.079,0.078,0.091
"Negativo",0.11,0.126,0.094,0.105,0.113,0.099,0.12,0.112,0.096,0.122,0.046,0.167,0.12,0.109,0.047,0.177,0.188,0.253,0.117,0.113,0.092,0.104
"No sabe",0.037,0.028,0.046,0.028,0.034,0.037,0.05,0.054,0.035,0.025,0.022,0.033,0.095,0.017,0,0.026,0.037,0.005,0.038,0.032,0.077,0.033
