"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Centro","Norte","Sur","Buenos Aires"
"Unión por la Patria",0.327,0.33,0.324,0.301,0.335,0.356,0.301,0.339,0.3,0.348,0.644,0.137,0.167,0.738,0.565,0.031,0.072,0.06,0.317,0.28,0.335,0.355
"Juntos por el Cambio ",0.255,0.224,0.283,0.16,0.197,0.319,0.397,0.222,0.248,0.294,0.105,0.425,0.231,0.144,0.278,0.693,0.54,0.045,0.269,0.212,0.273,0.259
"Liberales",0.202,0.263,0.144,0.266,0.222,0.152,0.155,0.19,0.205,0.209,0.087,0.277,0.236,0.053,0.064,0.223,0.06,0.677,0.201,0.258,0.214,0.176
"Izquierda",0.034,0.037,0.032,0.04,0.038,0.031,0.023,0.038,0.031,0.035,0.02,0.026,0.049,0.004,0.042,0.007,0.198,0.042,0.032,0.029,0.037,0.038
"Hacemos por Nuestro país",0.076,0.069,0.083,0.111,0.088,0.053,0.043,0.082,0.09,0.053,0.051,0.075,0.139,0.013,0.012,0.024,0.034,0.133,0.073,0.088,0.079,0.073
"No sabe",0.106,0.077,0.134,0.122,0.12,0.089,0.081,0.129,0.126,0.061,0.093,0.06,0.178,0.048,0.039,0.022,0.096,0.043,0.108,0.133,0.062,0.099
