"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.318,0.273,0.36,0.384,0.296,0.272,0.334,0.305,0.315,0.342,0.574,0.077,0.26
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.278,0.307,0.25,0.231,0.207,0.36,0.388,0.296,0.268,0.273,0.088,0.622,0.222
"Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.155,0.213,0.1,0.174,0.196,0.133,0.069,0.123,0.189,0.132,0.082,0.151,0.252
"Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.035,0.029,0.041,0.036,0.05,0.029,0.009,0.035,0.029,0.047,0.026,0.021,0.032
"En blanco",0.054,0.046,0.062,0.017,0.068,0.058,0.072,0.052,0.049,0.067,0.072,0.034,0.027
"No sabe",0.16,0.132,0.187,0.158,0.183,0.148,0.128,0.189,0.15,0.139,0.158,0.095,0.207
