"var","categoria","A Sergio Massa","A Daniel Scioli","A algún candidato del peronismo","Wado de Pedro"
"P05","Mucho",0.375,0.432,0.389,0.521
"P05","Bastante",0.333,0.368,0.397,0.401
"P05","Poco",0.222,0.177,0.125,0.067
"P05","Nada",0.06,0.006,0.089,0.008
"P05","No sabe",0.01,0.017,0,0.003
"P06","Siempre",0.323,0.331,0.24,0.2
"P06","Casi siempre",0.334,0.321,0.288,0.383
"P06","Casi nunca",0.241,0.265,0.279,0.314
"P06","Nunca, pero esta es una excepción",0.102,0.083,0.193,0.103
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.456,0.487,0.424,0.356
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.275,0.115,0.183,0.566
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.174,0.151,0.138,0.048
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.034,0.027,0.105,0.016
"P11","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.004,0.141,0.019,0.005
"P11","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0,0,0.004,0.003
"P11","En blanco",0.018,0.016,0.053,0.001
"P11","No sabe",0.039,0.063,0.074,0.005
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.549,0.297,0.308,0.671
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.263,0.186,0.449,0.226
"P13","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y su candidato a intendente por Unión por la Patria",0.014,0.244,0.022,0.035
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.088,0.161,0.089,0.038
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.026,0.055,0.024,0.009
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0,0.026,0.007,0.002
"P13","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.003,0,0.005,0.009
"P13","En blanco",0.013,0.031,0.017,0
"P13","No sabe",0.044,0,0.079,0.01
"P14","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.789,0.645,0.64,0.746
"P14","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.106,0.049,0.198,0.005
