"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda"," En blanco","No sabe"
"P17","En blanco",0.066,0.042,0.019,0.31,0.528,0.074
"P17","No sabe",0.026,0.023,0.026,0.05,0.068,0.496
"P18","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.892,0.019,0.072,0,0.109,0.09
"P18","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.041,0.763,0.118,0,0.204,0.167
"P18","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.024,0.028,0.683,0.152,0.005,0.004
"P18","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.014,0.023,0,0.776,0.047,0.017
"P18","En blanco",0.005,0.056,0.079,0,0.538,0.043
"P18","No sabe",0.024,0.111,0.048,0.072,0.097,0.679
"P19","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.887,0.07,0.031,0.042,0.162,0.05
"P19","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.048,0.826,0.107,0.058,0.065,0.103
"P19","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.01,0.001,0.716,0.121,0.01,0.018
"P19","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.014,0.005,0.002,0.662,0.043,0
"P19","En blanco",0.015,0.043,0.124,0.117,0.561,0.062
"P19","No sabe",0.026,0.055,0.02,0,0.159,0.767
"P20","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.767,0.06,0.022,0.017,0.33,0.232
"P20","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.062,0.789,0.147,0,0.248,0.164
"P20","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.021,0.021,0.691,0.118,0.047,0.028
"P20","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.039,0.004,0.079,0.645,0.016,0.018
"P20","En blanco",0.066,0.035,0.02,0.146,0.337,0.043
"P20","No sabe",0.045,0.091,0.041,0.074,0.022,0.515
"P21","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.778,0.034,0.091,0.041,0.467,0.304
"P21","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.061,0.838,0.15,0,0.153,0.089
"P21","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.023,0.001,0.69,0.171,0.024,0.033
"P21","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.039,0.021,0.003,0.538,0.018,0.046
"P21","En blanco",0.071,0.047,0.038,0.166,0.278,0.027
"P21","No sabe",0.028,0.059,0.028,0.084,0.06,0.501
"P22","Lo votaría",0.605,0.247,0.161,0.06,0.101,0.14
"P22","Puede que lo vote",0.309,0.236,0.164,0.268,0.365,0.223
"P22","Nunca lo votaría",0.058,0.355,0.551,0.461,0.478,0.342
"P22","No sabe",0.028,0.162,0.124,0.211,0.056,0.295
"P23","Lo votaría",0.542,0.164,0.166,0.15,0.468,0.235
"P23","Puede que lo vote",0.252,0.195,0.215,0.16,0.087,0.161
"P23","Nunca lo votaría",0.165,0.503,0.464,0.406,0.345,0.242
"P23","No sabe",0.041,0.138,0.155,0.284,0.1,0.362
"P24","La votaría",0.217,0.404,0.158,0.042,0.268,0.049
"P24","Puede que la vote",0.135,0.278,0.297,0.084,0.191,0.22
"P24","Nunca la votaría",0.577,0.216,0.392,0.508,0.498,0.418
"P24","No sabe",0.071,0.102,0.153,0.366,0.043,0.313
"P25","Lo votaría",0.16,0.498,0.147,0.042,0.141,0.115
"P25","Puede que lo vote",0.189,0.2,0.296,0.019,0.145,0.2
"P25","Nunca lo votaría",0.561,0.224,0.446,0.675,0.676,0.418
"P25","No sabe",0.09,0.078,0.111,0.264,0.038,0.267
