"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P06","Siempre",0.343,0.129,0.071,0.098,0.14
"P06","Casi siempre",0.306,0.447,0.215,0.132,0.17
"P06","Casi nunca",0.226,0.277,0.495,0.27,0.259
"P06","Nunca, pero esta es una excepción",0.125,0.147,0.219,0.5,0.431
"P08","Unión por la Patria y el peronismo",0.4,0.321,0.191,0.114,0.077
"P08","Juntos por el Cambio",0.288,0.327,0.306,0.24,0.204
"P08","De los Liberales libertarios",0.139,0.136,0.128,0.121,0.116
"P08","De la Izquierda",0.045,0.042,0.035,0.124,0.032
"P08","No sabe",0.128,0.174,0.34,0.401,0.571
"P09","A Sergio Massa",0.229,0.24,0.451,0.441,0.457
"P09","A Daniel Scioli",0.127,0.127,0.172,0.021,0.376
"P09","A algún candidato del peronismo",0.163,0.196,0.173,0.446,0
"P09","Wado de Pedro",0.481,0.437,0.204,0.092,0.167
"P10","A Horacio Rodriguez Larreta",0.264,0.181,0.27,0.368,0.525
"P10","A Patricia Bullrich",0.674,0.732,0.683,0.552,0.239
"P10","A Facundo Manes",0.036,0.071,0.032,0.037,0.236
"P10","A Gerardo Morales",0.026,0.016,0.015,0.043,0
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.251,0.192,0.13,0.114,0.055
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.183,0.189,0.087,0.077,0.031
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.237,0.27,0.255,0.188,0.118
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.07,0.1,0.157,0.072,0.085
"P11","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.154,0.111,0.134,0.205,0.346
"P11","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.019,0.004,0.014,0.046,0.035
"P11","En blanco",0.009,0.023,0.047,0.142,0.004
"P11","No sabe",0.077,0.111,0.176,0.156,0.326
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.284,0.216,0.219,0.112,0.091
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.177,0.149,0.074,0.162,0.096
"P13","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y su candidato a intendente por Unión por la Patria",0.052,0.07,0.084,0.048,0.156
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.218,0.228,0.222,0.194,0.012
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.09,0.129,0.084,0.119,0.111
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.099,0.07,0.088,0.112,0.158
"P13","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.018,0.014,0.034,0.023,0.044
"P13","En blanco",0.039,0.037,0.099,0.083,0.123
"P13","No sabe",0.023,0.087,0.096,0.147,0.209
"P14","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.339,0.352,0.283,0.223,0.237
"P14","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.287,0.315,0.239,0.167,0.397
"P14","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.188,0.159,0.139,0.092,0.037
"P14","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.024,0.028,0.012,0.151,0.049
"P14","En blanco",0.051,0.034,0.063,0.121,0.031
"P14","No sabe",0.111,0.112,0.264,0.246,0.249
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.357,0.361,0.271,0.292,0.321
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.228,0.306,0.262,0.218,0.059
"P15","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.221,0.145,0.179,0.081,0.102
"P15","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.027,0.017,0.009,0.035,0.064
"P15"," En blanco",0.087,0.053,0.055,0.16,0.011
"P15","No sabe",0.08,0.118,0.224,0.214,0.443
"P16","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.375,0.344,0.282,0.398,0.353
"P16","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.3,0.349,0.308,0.199,0.077
"P16","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.152,0.14,0.189,0.142,0
"P16","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.02,0.018,0.014,0.042,0.124
"P16","En blanco",0.087,0.061,0.04,0.117,0.122
"P16","No sabe",0.066,0.088,0.167,0.102,0.324
"P17","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.391,0.338,0.304,0.381,0.378
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.244,0.327,0.266,0.269,0.036
"P17","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.167,0.165,0.204,0.083,0.242
"P17","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.014,0.033,0.021,0.027,0
"P17","En blanco",0.096,0.065,0.07,0.185,0.202
"P17","No sabe",0.088,0.072,0.135,0.055,0.142
"P18","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.382,0.394,0.266,0.225,0.127
"P18","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.277,0.316,0.253,0.267,0.139
"P18","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.155,0.107,0.133,0.112,0
"P18","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.018,0.029,0.034,0.096,0
"P18","En blanco",0.064,0.049,0.085,0.12,0.248
"P18","No sabe",0.104,0.105,0.229,0.18,0.486
"P19","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.407,0.382,0.259,0.309,0.116
"P19","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.227,0.356,0.288,0.255,0.131
"P19","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.184,0.071,0.128,0.051,0
"P19","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.018,0.031,0.018,0.019,0
"P19","En blanco",0.061,0.067,0.102,0.186,0.182
"P19","No sabe",0.103,0.093,0.205,0.18,0.571
"P20","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.378,0.335,0.316,0.296,0.201
"P20","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.282,0.369,0.266,0.309,0.038
"P20","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.184,0.083,0.132,0.079,0
"P20","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.027,0.061,0.032,0.044,0.17
"P20","En blanco",0.072,0.059,0.066,0.096,0.021
"P20","No sabe",0.057,0.093,0.188,0.176,0.57
