"var","categoria","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.379,0.335,0.412,0.195,0.305,0.243
"P05","Bastante",0.387,0.379,0.283,0.314,0.232,0.244
"P05","Poco",0.177,0.204,0.237,0.25,0.272,0.358
"P05","Nada",0.05,0.073,0.068,0.241,0.129,0.095
"P05","No sabe",0.007,0.009,0,0,0.062,0.06
"P06","Siempre",0.287,0.256,0.194,0.127,0.098,0.08
"P06","Casi siempre",0.35,0.389,0.372,0.382,0.298,0.343
"P06","Casi nunca",0.249,0.263,0.272,0.154,0.322,0.461
"P06","Nunca, pero esta es una excepción",0.114,0.092,0.162,0.337,0.282,0.116
"P08","Unión por la Patria y el peronismo",0.782,0.089,0.064,0.173,0.26,0.227
"P08","Juntos por el Cambio",0.096,0.792,0.088,0.105,0.308,0.179
"P08","De los Liberales libertarios",0.036,0.061,0.712,0.174,0.11,0.023
"P08","De la Izquierda",0.009,0.011,0.004,0.443,0.027,0.025
"P08","No sabe",0.077,0.047,0.132,0.105,0.295,0.546
"P09","A Sergio Massa",0.346,0.496,0.529,0.452,0.145,0.167
"P09","A Daniel Scioli",0.145,0.08,0.344,0,0.09,0.019
"P09","A algún candidato del peronismo",0.082,0.4,0.127,0,0,0.07
"P09","Wado de Pedro",0.427,0.024,0,0.548,0.765,0.744
"P10","A Horacio Rodriguez Larreta",0.091,0.226,0.48,0,0.431,0.591
"P10","A Patricia Bullrich",0.692,0.753,0.52,1,0.36,0.361
"P10","A Facundo Manes",0.125,0.021,0,0,0.209,0.041
"P10","A Gerardo Morales",0.092,0,0,0,0,0.007
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.434,0.107,0.072,0.155,0.08,0.027
