"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P05","Mucho",0.427,0.455,0.341,0.283
"P05","Bastante",0.252,0.304,0.384,0.323
"P05","Poco",0.197,0.183,0.221,0.252
"P05","Nada",0.114,0.045,0.049,0.067
"P05","No sabe",0.01,0.013,0.005,0.075
"P06","Siempre",0.37,0.249,0.189,0.173
"P06","Casi siempre",0.234,0.456,0.428,0.474
"P06","Casi nunca",0.223,0.153,0.282,0.271
"P06","Nunca, pero esta es una excepción",0.173,0.142,0.101,0.082
"P08","Unión por la Patria y el peronismo",0.274,0.286,0.484,0.256
"P08","Juntos por el Cambio",0.16,0.465,0.319,0.303
"P08","De los Liberales libertarios",0.388,0.179,0.061,0.043
"P08","De la Izquierda",0.014,0.017,0.02,0.043
"P08","No sabe",0.164,0.053,0.116,0.355
"P09","A Sergio Massa",0.763,0.36,0.266,0.329
"P09","A Daniel Scioli",0.114,0.225,0.112,0.102
"P09","A algún candidato del peronismo",0.123,0.043,0.083,0.382
"P09","Wado de Pedro",0,0.372,0.539,0.187
"P10","A Horacio Rodriguez Larreta",0.603,0.143,0.256,0.058
"P10","A Patricia Bullrich",0.397,0.838,0.698,0.875
"P10","A Facundo Manes",0,0.019,0.038,0.041
"P10","A Gerardo Morales",0,0,0.008,0.026
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.153,0.183,0.191,0.231
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.015,0.26,0.281,0.11
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.209,0.282,0.263,0.205
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.082,0.101,0.117,0.066
"P11","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.438,0.123,0.049,0.105
"P11","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.01,0,0.007,0.024
"P11","En blanco",0.022,0,0.016,0
"P11","No sabe",0.071,0.051,0.076,0.259
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.129,0.267,0.333,0.193
