"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P06","Mucho",0.508,0.392,0.43,0.556,0.33,0.453,0.379,0.206
"P06","Bastante",0.378,0.439,0.327,0.34,0.403,0.315,0.309,0.39
"P06","Poco",0.076,0.13,0.163,0.025,0.18,0.105,0.089,0.3
"P06","Nada",0.028,0.035,0.076,0.079,0.077,0.049,0.179,0.095
"P06","No sabe",0.01,0.004,0.004,0,0.01,0.078,0.044,0.009
"P07","Siempre",0.293,0.291,0.258,0.247,0.187,0.327,0.422,0.138
"P07","Casi siempre",0.473,0.484,0.364,0.44,0.402,0.466,0.231,0.517
"P07","Casi nunca",0.177,0.17,0.262,0.217,0.262,0.183,0.287,0.24
"P07","Nunca, pero esta es una excepción",0.057,0.055,0.116,0.096,0.149,0.024,0.06,0.105
"P08","Tiene Decidido que va a ir a votar",0.915,0.906,0.862,0.902,0.633,0.897,0.762,0.749
"P08","Tiene dudas sobre si va a ir a  votar",0.069,0.073,0.11,0.087,0.353,0.097,0.144,0.216
"P08","Tiene Decidido que no va a ir a votar",0.016,0.021,0.028,0.011,0.014,0.006,0.094,0.035
"P10","Unión por la Patria",0.822,0.113,0.054,0.361,0.122,0.234,0.204,0.12
"P10","Juntos por el Cambio",0.084,0.785,0.215,0.208,0.389,0.318,0.494,0.394
"P10","Liberales",0.015,0.042,0.606,0.014,0.154,0.091,0.03,0.04
"P10","Izquierda",0.016,0.002,0.019,0.39,0.023,0.026,0.019,0.003
"P10","Otro",0.019,0.013,0.039,0.022,0.154,0.253,0.089,0.13
"P10","No sabe",0.044,0.045,0.067,0.005,0.158,0.078,0.164,0.313
"P19","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.743,0.031,0.041,0.212,0.167,0.17,0.084,0.114
"P19","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.18,0.012,0.023,0.203,0.119,0.152,0.113,0.047
"P19","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.015,0.598,0.191,0.107,0.132,0.282,0.508,0.312
"P19","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.012,0.314,0.036,0.154,0.146,0.063,0.063,0.113
"P19","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.018,0.023,0.68,0.029,0.12,0.08,0.031,0.025
"P19","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.01,0.002,0.001,0.255,0,0,0.009,0.008
"P19","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.008,0.002,0.009,0,0.19,0.005,0.011,0.011
