"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P06","Mucho",0.524,0.426,0.372,0.309
"P06","Bastante",0.38,0.338,0.447,0.357
"P06","Poco",0.074,0.168,0.091,0.246
"P06","Nada",0.014,0.061,0.074,0.064
"P06","No sabe",0.008,0.007,0.016,0.024
"P07","Siempre",0.296,0.266,0.294,0.286
"P07","Casi siempre",0.464,0.426,0.479,0.454
"P07","Casi nunca",0.188,0.234,0.155,0.181
"P07","Nunca, pero esta es una excepción",0.052,0.074,0.072,0.079
"P08","Tiene Decidido que va a ir a votar",0.916,0.876,0.862,0.857
"P08","Tiene dudas sobre si va a ir a  votar",0.065,0.1,0.106,0.123
"P08","Tiene Decidido que no va a ir a votar",0.019,0.024,0.032,0.02
"P10","Unión por la Patria",0.774,0.082,0.172,0.081
"P10","Juntos por el Cambio",0.122,0.412,0.672,0.641
"P10","Liberales",0.015,0.421,0.038,0.012
"P10","Izquierda",0.025,0.013,0.034,0.016
"P10","Otro",0.027,0.033,0.022,0.063
"P10","No sabe",0.037,0.039,0.062,0.187
"P19","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.694,0.021,0.066,0.042
"P19","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.171,0.01,0.052,0.043
"P19","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.037,0.386,0.474,0.513
"P19","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.038,0.113,0.275,0.23
"P19","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.014,0.439,0.037,0.016
"P19","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.018,0,0.019,0.008
"P19","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.007,0.008,0.014,0.021
"P19","Otros",0.007,0.015,0.022,0.039
"P19","En blanco",0.003,0,0.021,0.008
"P19","No sabe",0.011,0.008,0.02,0.08
"P22","Totalmente seguro",0.694,0.674,0.674,0.471
"P22","Bastante seguro",0.177,0.151,0.151,0.228
"P22","Algo seguro",0.092,0.133,0.11,0.105
"P22","Para nada seguro",0.037,0.042,0.065,0.196
"P29","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.512,0.052,0.047,0.075
"P29","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.23,0.014,0.057,0.025
"P29","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.067,0.402,0.41,0.433
"P29","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.051,0.14,0.296,0.273
"P29","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.068,0.344,0.08,0.062
"P29","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.026,0.003,0.024,0.003
"P29","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.005,0.003,0.009,0.02
"P29","Otros",0.02,0.019,0.015,0.031
"P29","En blanco",0.009,0.008,0.03,0.006
"P29","No sabe",0.012,0.015,0.032,0.072
"P34","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.818,0.021,0.043,0.061
"P34","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.07,0.438,0.703,0.646
