"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P06","Mucho",0.515,0.374,0.429,0.477,0.39,0.435,0.366,0.284
"P06","Bastante",0.367,0.43,0.324,0.366,0.319,0.307,0.338,0.299
"P06","Poco",0.081,0.152,0.136,0.057,0.196,0.169,0.179,0.249
"P06","Nada",0.026,0.041,0.104,0.1,0.045,0.036,0.117,0.135
"P06","No sabe",0.011,0.003,0.007,0,0.05,0.053,0,0.033
"P07","Siempre",0.277,0.258,0.264,0.253,0.251,0.387,0.388,0.192
"P07","Casi siempre",0.467,0.487,0.346,0.468,0.403,0.49,0.257,0.367
"P07","Casi nunca",0.195,0.193,0.27,0.17,0.258,0.101,0.255,0.235
"P07","Nunca, pero esta es una excepción",0.061,0.062,0.12,0.109,0.088,0.022,0.1,0.206
"P08","Tiene Decidido que va a ir a votar",0.916,0.894,0.854,0.78,0.78,0.886,0.642,0.724
"P08","Tiene dudas sobre si va a ir a  votar",0.064,0.085,0.111,0.213,0.22,0.114,0.238,0.201
"P08","Tiene Decidido que no va a ir a votar",0.02,0.021,0.035,0.007,0,0,0.12,0.075
"P10","Unión por la Patria",0.817,0.105,0.081,0.334,0.185,0.193,0.33,0.079
"P10","Juntos por el Cambio",0.088,0.792,0.132,0.134,0.296,0.323,0.297,0.308
"P10","Liberales",0.015,0.038,0.68,0.121,0.155,0.077,0.041,0.044
"P10","Izquierda",0.012,0.003,0.02,0.288,0.048,0.055,0.019,0
"P10","Otro",0.024,0.015,0.033,0.003,0.164,0.224,0.072,0.172
"P10","No sabe",0.044,0.047,0.054,0.12,0.152,0.128,0.241,0.397
"P19","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.744,0.028,0.055,0.231,0.16,0.119,0.167,0.061
"P19","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.175,0.011,0.036,0.165,0.164,0.171,0.192,0.047
"P19","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.012,0.699,0.052,0.068,0.093,0.093,0.096,0.068
"P19","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.016,0.2,0.082,0.176,0.165,0.247,0.266,0.243
"P19","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.026,0.036,0.747,0.116,0.083,0.086,0.013,0
"P19","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.011,0.002,0,0.176,0,0.013,0.03,0.014
"P19","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.005,0.006,0.009,0,0.17,0.03,0.021,0.01
"P19","Otros",0.005,0.008,0.009,0.006,0.129,0.219,0,0.123
"P19","En blanco",0.001,0.002,0.002,0.04,0.015,0.012,0.095,0.065
"P19","No sabe",0.005,0.008,0.008,0.022,0.021,0.01,0.12,0.369
"P22","Totalmente seguro",0.691,0.646,0.717,0.465,0.434,0.623,0.332,0.341
"P22","Bastante seguro",0.177,0.179,0.119,0.168,0.258,0.211,0.144,0.161
"P22","Algo seguro",0.083,0.115,0.122,0.262,0.231,0.059,0.192,0.125
"P22","Para nada seguro",0.049,0.06,0.042,0.105,0.077,0.107,0.332,0.373
"P29","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.579,0.037,0.07,0.246,0.094,0.128,0.216,0.125
"P29","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.228,0.015,0.017,0.162,0.257,0.162,0.105,0.027
"P29","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.037,0.525,0.326,0.099,0.212,0.148,0.016,0.162
"P29","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.045,0.264,0.073,0.131,0.138,0.226,0.146,0.119
"P29","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.048,0.13,0.466,0.114,0.122,0.113,0.239,0.065
"P29","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.018,0.001,0.003,0.178,0,0.028,0.012,0.002
"P29","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.004,0.004,0,0,0.116,0.012,0.015,0.017
"P29","Otros",0.022,0.005,0.023,0.043,0.051,0.143,0.037,0.154
"P29","En blanco",0.009,0.004,0.014,0.027,0.01,0.037,0.098,0.041
"P29","No sabe",0.01,0.015,0.008,0,0,0.003,0.116,0.288
"P35","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.918,0.026,0.047,0.24,0.052,0.077,0.125,0.045
"P35","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.024,0.733,0.083,0.171,0.21,0.249,0.194,0.183
"P35","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.014,0.121,0.858,0.127,0.044,0.083,0.017,0.008
"P35","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.016,0.008,0.002,0.338,0.115,0.033,0.065,0
"P35","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.002,0.015,0.002,0.006,0.56,0.003,0.021,0
"P35","Otros",0.01,0.027,0,0.059,0.011,0.536,0.027,0.044
"P35","En blanco",0.002,0.029,0.001,0.026,0,0.014,0.507,0.066
"P35","No sabe",0.014,0.041,0.007,0.033,0.008,0.005,0.044,0.654
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.938,0.059,0.087,0.383,0.306,0.258,0.311,0.249
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.015,0.886,0.552,0.265,0.181,0.232,0.182,0.203
"P36","En blanco",0.03,0.028,0.248,0.294,0.222,0.167,0.266,0.127
"P36","No sabe",0.017,0.027,0.113,0.058,0.291,0.343,0.241,0.421
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.104,0.859,0.12,0.129,0.272,0.209,0.192,0.179
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.048,0.089,0.837,0.085,0.17,0.132,0.028,0.112
"P37","En blanco",0.615,0.03,0.021,0.547,0.352,0.321,0.597,0.228
"P37","No sabe",0.233,0.022,0.022,0.239,0.206,0.338,0.183,0.481
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.914,0.07,0.091,0.333,0.19,0.308,0.301,0.162
