"var","categoria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P06","Mucho",0.408,0.424,0.543,0.378
"P06","Bastante",0.424,0.318,0.348,0.375
"P06","Poco",0.129,0.171,0.063,0.173
"P06","Nada",0.03,0.083,0.029,0.058
"P06","No sabe",0.009,0.004,0.017,0.016
"P07","Siempre",0.294,0.267,0.297,0.273
"P07","Casi siempre",0.48,0.398,0.483,0.442
"P07","Casi nunca",0.168,0.24,0.176,0.199
"P07","Nunca, pero esta es una excepción",0.058,0.095,0.044,0.086
"P08","Tiene Decidido que va a ir a votar",0.903,0.854,0.895,0.871
"P08","Tiene dudas sobre si va a ir a  votar",0.078,0.12,0.081,0.109
"P08","Tiene Decidido que no va a ir a votar",0.019,0.026,0.024,0.02
"P10","Unión por la Patria",0.215,0.123,0.744,0.485
"P10","Juntos por el Cambio",0.684,0.256,0.127,0.204
"P10","Liberales",0.02,0.527,0.022,0.055
"P10","Izquierda",0.025,0.016,0.026,0.015
"P10","Otro",0.016,0.033,0.037,0.08
"P10","No sabe",0.04,0.045,0.044,0.161
"P19","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.152,0.066,0.601,0.515
"P19","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.033,0.013,0.218,0.091
"P19","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.466,0.281,0.077,0.156
"P19","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.286,0.04,0.013,0.043
"P19","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.016,0.566,0.029,0.04
"P19","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.011,0.001,0.02,0.012
"P19","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.006,0.011,0.009,0.017
"P19","Otros",0.006,0.012,0.023,0.052
"P19","En blanco",0.01,0.001,0.004,0.002
"P19","No sabe",0.014,0.009,0.006,0.072
"P22","Totalmente seguro",0.625,0.679,0.734,0.566
"P22","Bastante seguro",0.204,0.132,0.145,0.211
"P22","Algo seguro",0.107,0.146,0.079,0.106
"P22","Para nada seguro",0.064,0.043,0.042,0.117
"P29","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.124,0.071,0.456,0.417
"P29","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.054,0.025,0.262,0.13
"P29","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.388,0.383,0.097,0.147
"P29","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.304,0.065,0.032,0.069
"P29","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.09,0.401,0.051,0.091
"P29","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.009,0.003,0.027,0.018
"P29","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.006,0.006,0.007,0.006
"P29","Otros",0.004,0.021,0.039,0.043
"P29","En blanco",0.007,0.01,0.018,0.009
"P29","No sabe",0.014,0.015,0.011,0.07
"P34","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.167,0.066,0.757,0.562
"P34","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.65,0.309,0.103,0.165
"P34","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.057,0.572,0.017,0.02
"P34","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.031,0.017,0.041,0.029
"P34","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.016,0.013,0.023,0.019
"P34","Otros",0.034,0.016,0.032,0.072
"P34","En blanco",0.018,0.001,0.012,0.007
"P34","No sabe",0.027,0.006,0.015,0.126
"P35","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.163,0.068,0.771,0.552
"P35","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.704,0.14,0.056,0.109
"P35","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.04,0.719,0.023,0.021
"P35","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.021,0.002,0.033,0.044
"P35","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.009,0.01,0.022,0.016
"P35","Otros",0.021,0.021,0.032,0.09
"P35","En blanco",0.015,0.013,0.038,0.023
"P35","No sabe",0.027,0.027,0.025,0.145
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.253,0.086,0.783,0.618
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.658,0.677,0.095,0.163
"P36","En blanco",0.048,0.166,0.102,0.022
"P36","No sabe",0.041,0.071,0.02,0.197
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.733,0.271,0.142,0.185
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.073,0.661,0.036,0.059
"P37","En blanco",0.128,0.028,0.781,0.155
"P37","No sabe",0.066,0.04,0.041,0.601
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.231,0.101,0.78,0.565
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.711,0.468,0.022,0.1
"P38","En blanco",0.029,0.293,0.173,0.048
"P38","No sabe",0.029,0.138,0.025,0.287
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.262,0.058,0.786,0.62
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.276,0.873,0.039,0.065
"P40","En blanco",0.254,0.036,0.154,0.034
"P40","No sabe",0.208,0.033,0.021,0.281
"P50","Lo votaría",0.205,0.058,0.778,0.54
"P50","Puede que lo vote",0.067,0.152,0.057,0.105
"P50","Nunca lo votaría",0.68,0.762,0.158,0.226
"P50","No sabe",0.048,0.028,0.007,0.129
"P51","Lo votaría",0.107,0.041,0.586,0.355
"P51","Puede que lo vote",0.088,0.067,0.208,0.176
"P51","Nunca lo votaría",0.782,0.881,0.176,0.337
"P51","No sabe",0.023,0.011,0.03,0.132
"P52","Lo votaría",0.586,0.362,0.108,0.202
"P52","Puede que lo vote",0.128,0.28,0.052,0.087
"P52","Nunca lo votaría",0.258,0.343,0.812,0.609
"P52","No sabe",0.028,0.015,0.028,0.102
"P53","Lo votaría",0.618,0.153,0.03,0.081
"P53","Puede que lo vote",0.227,0.295,0.057,0.14
"P53","Nunca lo votaría",0.125,0.518,0.892,0.626
"P53","No sabe",0.03,0.034,0.021,0.153
"P54","Lo votaría",0.115,0.65,0.012,0.082
"P54","Puede que lo vote",0.245,0.201,0.048,0.077
"P54","Nunca lo votaría",0.597,0.122,0.924,0.723
"P54","No sabe",0.043,0.027,0.016,0.118
"P55","Lo votaría",0.055,0.074,0.089,0.084
"P55","Puede que lo vote",0.088,0.055,0.351,0.208
"P55","Nunca lo votaría",0.817,0.842,0.523,0.591
"P55","No sabe",0.04,0.029,0.037,0.117
"P56","Lo votaría",0.042,0.034,0.018,0.075
"P56","Puede que lo vote",0.224,0.161,0.183,0.143
"P56","Nunca lo votaría",0.671,0.744,0.75,0.636
"P56","No sabe",0.063,0.061,0.049,0.146
"P60","Si",0.514,0.521,0.549,0.48
"P60","No",0.486,0.479,0.451,0.52
