"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior"
"Si",0.52,0.574,0.464,0.478,0.529,0.56,0.486,0.595,0.484,0.502,0.519,0.524,0.482,0.534,0.492
"No",0.48,0.426,0.536,0.522,0.471,0.44,0.514,0.405,0.516,0.498,0.481,0.476,0.518,0.466,0.508
