"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P06","Mucho",0.514,0.471,0.407,0.303,0.424,0.473,0.316,0.453,0.498,0.144
"P06","Bastante",0.344,0.392,0.371,0.401,0.289,0.125,0.427,0.231,0.236,0.326
"P06","Poco",0.102,0.1,0.173,0.211,0.179,0.189,0.227,0.208,0.135,0.219
"P06","Nada",0.03,0.027,0.046,0.077,0.1,0.213,0.008,0.097,0.131,0.225
"P06","No sabe",0.01,0.01,0.003,0.008,0.008,0,0.022,0.011,0,0.086
"P07","Siempre",0.315,0.185,0.275,0.22,0.269,0.118,0.08,0.137,0.308,0.074
"P07","Casi siempre",0.42,0.448,0.483,0.437,0.283,0.444,0.527,0.416,0.234,0.289
"P07","Casi nunca",0.211,0.261,0.183,0.22,0.307,0.353,0.355,0.324,0.339,0.385
"P07","Nunca, pero esta es una excepción",0.054,0.106,0.059,0.123,0.141,0.085,0.038,0.123,0.119,0.252
"P08","Tiene Decidido que va a ir a votar",0.902,0.865,0.894,0.801,0.862,0.706,0.892,0.793,0.45,0.625
"P08","Tiene dudas sobre si va a ir a  votar",0.074,0.081,0.085,0.14,0.107,0.235,0.108,0.133,0.238,0.24
"P08","Tiene Decidido que no va a ir a votar",0.024,0.054,0.021,0.059,0.031,0.059,0,0.074,0.312,0.135
"P10","Unión por la Patria",0.793,0.661,0.098,0.11,0.077,0.072,0.035,0.037,0.059,0.024
"P10","Juntos por el Cambio",0.091,0.117,0.791,0.764,0.082,0.023,0.037,0.058,0.172,0.056
"P10","Liberales",0.021,0.04,0.032,0.041,0.696,0.042,0.203,0.154,0.035,0.048
"P10","Izquierda",0.013,0.023,0.017,0.006,0.012,0.735,0.034,0.049,0.104,0.003
"P10","Otro",0.037,0.086,0.011,0.014,0.056,0.024,0.235,0.411,0.046,0.024
"P10","No sabe",0.045,0.073,0.051,0.065,0.077,0.104,0.456,0.291,0.584,0.845
"P22","Totalmente seguro",0.712,0.578,0.678,0.471,0.715,0.385,0.162,0.393,0.368,0.094
"P22","Bastante seguro",0.178,0.219,0.159,0.278,0.111,0.203,0.099,0.105,0.023,0.029
"P22","Algo seguro",0.065,0.133,0.109,0.153,0.124,0.122,0.378,0.136,0.089,0.14
"P22","Para nada seguro",0.045,0.07,0.054,0.098,0.05,0.29,0.361,0.366,0.52,0.737
"P29","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.556,0.459,0.031,0.097,0.088,0.16,0.1,0.124,0.144,0.141
"P29","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.222,0.209,0.008,0.03,0.018,0.194,0.096,0.046,0.021,0.011
"P29","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.04,0.106,0.503,0.361,0.371,0.04,0.215,0.207,0.022,0.09
"P29","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.043,0.037,0.283,0.317,0.07,0.043,0.144,0.018,0.372,0.068
"P29","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.076,0.072,0.152,0.118,0.408,0.102,0.228,0.09,0.01,0.023
"P29","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.022,0.061,0.001,0.018,0.003,0.189,0.007,0.024,0.012,0
"P29","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.003,0.002,0.004,0.012,0.001,0.01,0.093,0.036,0,0.017
"P29","Otros",0.016,0.044,0.002,0.014,0.02,0.149,0.009,0.426,0.248,0.018
"P29","En blanco",0.014,0.005,0.003,0.007,0.015,0.061,0.081,0.015,0.119,0.094
"P29","No sabe",0.008,0.005,0.013,0.026,0.006,0.052,0.027,0.014,0.052,0.538
"P34","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.874,0.686,0.017,0.048,0.06,0.348,0.161,0.084,0.05,0.074
"P34","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.032,0.041,0.906,0.572,0.077,0.058,0.202,0.127,0.085,0.11
"P34","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.031,0.067,0.034,0.119,0.811,0.003,0.153,0.073,0.044,0.054
"P34","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.023,0.054,0.008,0.045,0.022,0.464,0,0.009,0.167,0.028
"P34","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.01,0.034,0.007,0.027,0.01,0,0.313,0.116,0.039,0.017
"P34","Otros",0.014,0.065,0.012,0.072,0.019,0.038,0.1,0.357,0.057,0.014
"P34","En blanco",0.008,0.032,0.006,0.034,0.001,0.039,0.03,0,0.196,0.076
"P34","No sabe",0.008,0.021,0.01,0.083,0,0.05,0.041,0.234,0.362,0.627
"P35","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.874,0.721,0.021,0.035,0.041,0.327,0.298,0.08,0.238,0.101
"P35","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.03,0.042,0.683,0.782,0.044,0.046,0.069,0.078,0.152,0.144
"P35","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.027,0.051,0.144,0.059,0.867,0.024,0.18,0.105,0.017,0.076
"P35","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.016,0.052,0.009,0.029,0.004,0.548,0,0.017,0.083,0
"P35","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.01,0.024,0.009,0.022,0.014,0,0.357,0.083,0.047,0.009
"P35","Otros",0.019,0.059,0.038,0.018,0.018,0,0.02,0.356,0.037,0.04
"P35","En blanco",0.006,0.026,0.04,0.011,0.004,0.018,0.023,0.055,0.12,0.089
"P35","No sabe",0.018,0.025,0.056,0.044,0.008,0.037,0.053,0.226,0.306,0.541
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.931,0.819,0.05,0.129,0.059,0.521,0.262,0.25,0.144,0.2
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.012,0.044,0.915,0.676,0.562,0.077,0.322,0.116,0.194,0.177
"P36","En blanco",0.039,0.095,0.021,0.078,0.233,0.312,0.226,0.323,0.566,0.064
"P36","No sabe",0.018,0.042,0.014,0.117,0.146,0.09,0.19,0.311,0.096,0.559
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.122,0.139,0.867,0.64,0.083,0.088,0.283,0.163,0.216,0.108
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.049,0.051,0.088,0.16,0.841,0.043,0.337,0.222,0.092,0.129
"P37","En blanco",0.572,0.676,0.016,0.095,0.039,0.739,0.232,0.354,0.522,0.275
"P37","No sabe",0.257,0.134,0.029,0.105,0.037,0.13,0.148,0.261,0.17,0.488
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.921,0.795,0.053,0.077,0.057,0.585,0.124,0.185,0.189,0.208
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.02,0.025,0.753,0.841,0.399,0.067,0.202,0.148,0.181,0.162
"P38","En blanco",0.035,0.114,0.105,0.05,0.356,0.31,0.356,0.331,0.53,0.085
"P38","No sabe",0.024,0.066,0.089,0.032,0.188,0.038,0.318,0.336,0.1,0.545
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.184,0.142,0.603,0.844,0.036,0.349,0.231,0.116,0.701,0.27
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.054,0.039,0.246,0.079,0.88,0.03,0.271,0.158,0.025,0.113
"P39","En blanco",0.513,0.663,0.07,0.026,0.047,0.465,0.242,0.32,0.215,0.074
"P39","No sabe",0.249,0.156,0.081,0.051,0.037,0.156,0.256,0.406,0.059,0.543
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.927,0.806,0.054,0.127,0.037,0.647,0.271,0.181,0.195,0.216
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.023,0.039,0.452,0.298,0.914,0.009,0.252,0.301,0.026,0.126
"P40","En blanco",0.032,0.089,0.252,0.33,0.035,0.252,0.205,0.202,0.581,0.144
"P40","No sabe",0.018,0.066,0.242,0.245,0.014,0.092,0.272,0.316,0.198,0.514
"P50","Lo votaría",0.91,0.713,0.035,0.095,0.033,0.207,0.077,0.155,0.359,0.073
"P50","Puede que lo vote",0.032,0.141,0.091,0.042,0.139,0.43,0.342,0.273,0.181,0.208
"P50","Nunca lo votaría",0.036,0.108,0.852,0.774,0.79,0.302,0.383,0.467,0.369,0.396
"P50","No sabe",0.022,0.038,0.022,0.089,0.038,0.061,0.198,0.105,0.091,0.323
"P51","Lo votaría",0.546,0.869,0.009,0.019,0.038,0.097,0.141,0.065,0.051,0.035
"P51","Puede que lo vote",0.277,0.096,0.019,0.073,0.068,0.439,0.253,0.209,0.177,0.053
"P51","Nunca lo votaría",0.114,0.029,0.958,0.881,0.879,0.373,0.569,0.62,0.681,0.676
"P51","No sabe",0.063,0.006,0.014,0.027,0.015,0.091,0.037,0.106,0.091,0.236
"P52","Lo votaría",0.065,0.084,0.83,0.434,0.218,0.026,0.136,0.168,0.104,0.072
"P52","Puede que lo vote",0.067,0.1,0.053,0.258,0.358,0.054,0.264,0.124,0.184,0.193
"P52","Nunca lo votaría",0.826,0.802,0.109,0.263,0.391,0.887,0.485,0.613,0.626,0.462
"P52","No sabe",0.042,0.014,0.008,0.045,0.033,0.033,0.115,0.095,0.086,0.273
"P53","Lo votaría",0.03,0.023,0.52,0.741,0.139,0.026,0.102,0.079,0.156,0.131
"P53","Puede que lo vote",0.102,0.097,0.276,0.137,0.263,0.199,0.372,0.218,0.072,0.261
"P53","Nunca lo votaría",0.827,0.843,0.171,0.085,0.552,0.683,0.377,0.593,0.627,0.368
"P53","No sabe",0.041,0.037,0.033,0.037,0.046,0.092,0.149,0.11,0.145,0.24
"P54","Lo votaría",0.029,0.043,0.17,0.179,0.801,0.022,0.411,0.125,0,0.105
"P54","Puede que lo vote",0.054,0.046,0.307,0.23,0.125,0.023,0.165,0.129,0.026,0.121
"P54","Nunca lo votaría",0.893,0.88,0.474,0.533,0.06,0.935,0.382,0.507,0.851,0.542
"P54","No sabe",0.024,0.031,0.049,0.058,0.014,0.02,0.042,0.239,0.123,0.232
"P55","Lo votaría",0.073,0.143,0.019,0.065,0.092,0.78,0.016,0.018,0.198,0.017
"P55","Puede que lo vote",0.337,0.444,0.035,0.047,0.027,0.081,0.242,0.188,0.232,0.056
"P55","Nunca lo votaría",0.532,0.379,0.929,0.842,0.836,0.125,0.612,0.577,0.442,0.659
"P55","No sabe",0.058,0.034,0.017,0.046,0.045,0.014,0.13,0.217,0.128,0.268
"P56","Lo votaría",0.044,0.021,0.02,0.04,0.034,0.105,0.515,0.091,0,0.033
"P56","Puede que lo vote",0.225,0.232,0.159,0.217,0.127,0.174,0.065,0.133,0.149,0.239
"P56","Nunca lo votaría",0.661,0.714,0.785,0.635,0.762,0.627,0.378,0.54,0.693,0.418
"P56","No sabe",0.07,0.033,0.036,0.108,0.077,0.094,0.042,0.236,0.158,0.31
"P60","Si",0.517,0.643,0.526,0.468,0.58,0.491,0.598,0.56,0.337,0.201
"P60","No",0.483,0.357,0.474,0.532,0.42,0.509,0.402,0.44,0.663,0.799
