"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior"
"Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.251,0.22,0.28,0.197,0.261,0.259,0.271,0.279,0.261,0.205,0.435,0.079,0.127,0.263,0.226
"Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.098,0.092,0.104,0.106,0.105,0.092,0.085,0.069,0.086,0.146,0.173,0.037,0.045,0.102,0.09
"Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.258,0.264,0.252,0.19,0.241,0.279,0.328,0.271,0.272,0.224,0.11,0.437,0.32,0.256,0.261
"Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.143,0.141,0.145,0.128,0.132,0.151,0.169,0.143,0.135,0.156,0.07,0.24,0.192,0.149,0.132
"Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.151,0.193,0.112,0.248,0.167,0.119,0.07,0.173,0.14,0.144,0.112,0.166,0.232,0.133,0.189
"Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.018,0.016,0.02,0.049,0.012,0.011,0.01,0.01,0.014,0.033,0.026,0.002,0.007,0.02,0.015
"Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.006,0.006,0.006,0,0.004,0.013,0.008,0.002,0.007,0.009,0.004,0.003,0.019,0.005,0.009
"Otros",0.029,0.024,0.033,0.047,0.032,0.019,0.016,0.019,0.031,0.035,0.032,0.006,0.01,0.025,0.035
"En blanco",0.015,0.019,0.011,0.003,0.021,0.016,0.013,0.017,0.014,0.014,0.02,0.006,0.016,0.016,0.012
"No sabe",0.031,0.025,0.037,0.032,0.025,0.041,0.03,0.017,0.04,0.034,0.018,0.024,0.032,0.031,0.031
