"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P36","En blanco",0.093,0.074,0.098,0.149,0.114
"P36","No sabe",0.047,0.056,0.136,0.14,0.336
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.346,0.427,0.48,0.343,0.207
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.207,0.185,0.232,0.313,0.061
"P37","En blanco",0.337,0.242,0.137,0.188,0.453
"P37","No sabe",0.11,0.146,0.151,0.156,0.279
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.47,0.389,0.224,0.086,0.41
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.344,0.409,0.45,0.454,0.238
"P38","En blanco",0.121,0.122,0.153,0.276,0.131
"P38","No sabe",0.065,0.08,0.173,0.184,0.221
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.333,0.411,0.359,0.227,0.309
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.238,0.212,0.327,0.44,0.101
"P39","En blanco",0.306,0.232,0.121,0.156,0.383
"P39","No sabe",0.123,0.145,0.193,0.177,0.207
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.472,0.406,0.227,0.124,0.286
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.318,0.299,0.428,0.455,0.213
"P40","En blanco",0.12,0.172,0.101,0.238,0.21
"P40","No sabe",0.09,0.123,0.244,0.183,0.291
"P50","Lo votaría",0.428,0.366,0.201,0.091,0.26
"P50","Puede que lo vote",0.084,0.101,0.063,0.121,0.126
"P50","Nunca lo votaría",0.457,0.486,0.678,0.72,0.422
"P50","No sabe",0.031,0.047,0.058,0.068,0.192
"P51","Lo votaría",0.314,0.243,0.093,0.006,0.206
"P51","Puede que lo vote",0.129,0.124,0.108,0.124,0.234
"P51","Nunca lo votaría",0.531,0.599,0.745,0.798,0.368
"P51","No sabe",0.026,0.034,0.054,0.072,0.192
"P52","Lo votaría",0.344,0.348,0.422,0.374,0.448
"P52","Puede que lo vote",0.118,0.139,0.182,0.313,0.051
"P52","Nunca lo votaría",0.517,0.475,0.352,0.252,0.211
"P52","No sabe",0.021,0.038,0.044,0.061,0.29
"P53","Lo votaría",0.263,0.288,0.317,0.295,0.218
"P53","Puede que lo vote",0.162,0.21,0.206,0.25,0.089
"P53","Nunca lo votaría",0.55,0.455,0.39,0.358,0.538
"P53","No sabe",0.025,0.047,0.087,0.097,0.155
"P54","Lo votaría",0.221,0.185,0.259,0.369,0.185
"P54","Puede que lo vote",0.139,0.169,0.242,0.083,0.222
"P54","Nunca lo votaría",0.613,0.608,0.435,0.402,0.383
"P54","No sabe",0.027,0.038,0.064,0.146,0.21
"P55","Lo votaría",0.093,0.059,0.026,0.108,0
"P55","Puede que lo vote",0.161,0.201,0.097,0.028,0.173
"P55","Nunca lo votaría",0.707,0.699,0.827,0.723,0.591
"P55","No sabe",0.039,0.041,0.05,0.141,0.236
"P56","Lo votaría",0.043,0.03,0.052,0.018,0.063
"P56","Puede que lo vote",0.193,0.183,0.21,0.138,0
"P56","Nunca lo votaría",0.713,0.71,0.668,0.667,0.715
"P56","No sabe",0.051,0.077,0.07,0.177,0.222
"P60","Si",0.555,0.523,0.405,0.39,0.846
"P60","No",0.445,0.477,0.595,0.61,0.154
