"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P36","En blanco",0.025,0.036,0.441,0.062
"P36","No sabe",0.012,0.05,0.051,0.399
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.163,0.685,0.238,0.313
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.063,0.237,0.465,0.288
"P37","En blanco",0.573,0.036,0.264,0.059
"P37","No sabe",0.201,0.042,0.033,0.34
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.218,0.66,0.078,0.117
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.064,0.29,0.54,0.371
"P39","En blanco",0.514,0.014,0.331,0.071
"P39","No sabe",0.204,0.036,0.051,0.441
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.896,0.066,0.084,0.107
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.054,0.516,0.56,0.406
"P40","En blanco",0.031,0.214,0.341,0.05
"P40","No sabe",0.019,0.204,0.015,0.437
"P50","Lo votaría",0.849,0.038,0.103,0.079
"P50","Puede que lo vote",0.069,0.096,0.099,0.148
"P50","Nunca lo votaría",0.061,0.828,0.787,0.556
"P50","No sabe",0.021,0.038,0.011,0.217
"P51","Lo votaría",0.566,0.013,0.119,0.123
"P51","Puede que lo vote",0.247,0.045,0.058,0.066
"P51","Nunca lo votaría",0.135,0.934,0.816,0.672
"P51","No sabe",0.052,0.008,0.007,0.139
"P52","Lo votaría",0.095,0.657,0.246,0.267
"P52","Puede que lo vote",0.079,0.162,0.207,0.217
"P52","Nunca lo votaría",0.792,0.165,0.517,0.386
"P52","No sabe",0.034,0.016,0.03,0.13
"P53","Lo votaría",0.048,0.615,0.042,0.084
"P53","Puede que lo vote",0.117,0.265,0.128,0.236
"P53","Nunca lo votaría",0.8,0.101,0.795,0.445
"P53","No sabe",0.035,0.019,0.035,0.235
"P54","Lo votaría",0.053,0.254,0.473,0.389
"P54","Puede que lo vote",0.058,0.286,0.115,0.094
"P54","Nunca lo votaría",0.863,0.428,0.366,0.36
"P54","No sabe",0.026,0.032,0.046,0.157
"P55","Lo votaría",0.102,0.046,0.073,0.064
"P55","Puede que lo vote",0.342,0.035,0.088,0.095
"P55","Nunca lo votaría",0.505,0.89,0.814,0.694
"P55","No sabe",0.051,0.029,0.025,0.147
"P56","Lo votaría",0.038,0.037,0.025,0.061
"P56","Puede que lo vote",0.218,0.196,0.112,0.117
"P56","Nunca lo votaría",0.685,0.714,0.812,0.591
"P56","No sabe",0.059,0.053,0.051,0.231
"P60","Si",0.527,0.506,0.515,0.569
"P60","No",0.473,0.494,0.485,0.431
