"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P06","Mucho",0.453,0.273,0.285
"P06","Bastante",0.321,0.287,0.186
"P06","Poco",0.171,0.259,0.345
"P06","Nada",0.042,0.143,0.123
"P06","No sabe",0.013,0.038,0.061
"P07","Siempre",0.262,0.143,0.121
"P07","Casi siempre",0.359,0.446,0.081
"P07","Casi nunca",0.265,0.257,0.632
"P07","Nunca, pero esta es una excepción",0.114,0.154,0.166
"P11","Unión por la Patria",0.342,0.257,0.378
"P11","Juntos por el Cambio",0.229,0.216,0.189
"P11","Liberales",0.266,0.206,0.099
"P11","Izquierda",0.033,0.037,0.046
"P11","Otro",0.052,0.043,0.116
"P11","No sabe",0.078,0.241,0.172
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.368,0.345,0.258
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.239,0.245,0.222
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.297,0.225,0.23
"P20","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.024,0.034,0.099
"P20","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.013,0.008,0.047
"P20","Otros",0.021,0.055,0.018
"P20","En blanco",0.008,0.034,0.025
"P20","No sabe",0.03,0.054,0.101
"P23","Totalmente seguro",0.741,0.534,0.398
"P23","Bastante seguro",0.13,0.161,0.1
"P23","Algo seguro",0.078,0.16,0.197
"P23","Para nada seguro",0.051,0.145,0.305
"P30","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.298,0.261,0.261
"P30","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.264,0.227,0.161
"P30","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.224,0.262,0.181
"P30","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.047,0.096,0.057
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.035,0.03,0.068
"P30","Otros",0.041,0.06,0.005
"P30","En blanco",0.054,0.042,0.191
"P30","No sabe",0.037,0.022,0.076
"P31","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.411,0.333,0.442
"P31","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.401,0.377,0.144
"P31","En blanco",0.097,0.102,0.208
"P31","No sabe",0.091,0.188,0.206
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.307,0.335,0.352
"P32","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.312,0.3,0.136
"P32","En blanco",0.248,0.17,0.402
"P32","No sabe",0.133,0.195,0.11
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.402,0.309,0.447
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.416,0.406,0.228
"P33","En blanco",0.086,0.116,0.218
"P33","No sabe",0.096,0.169,0.107
"P40","Lo votaría",0.4,0.298,0.35
"P40","Puede que lo vote",0.084,0.221,0.171
"P40","Nunca lo votaría",0.482,0.399,0.34
"P40","No sabe",0.034,0.082,0.139
"P41","Lo votaría",0.304,0.311,0.12
"P41","Puede que lo vote",0.176,0.187,0.238
"P41","Nunca lo votaría",0.462,0.461,0.581
"P41","No sabe",0.058,0.041,0.061
"P42","Lo votaría",0.316,0.213,0.225
"P42","Puede que lo vote",0.154,0.186,0.213
"P42","Nunca lo votaría",0.485,0.524,0.378
"P42","No sabe",0.045,0.077,0.184
"P43","Lo votaría",0.091,0.219,0.14
"P43","Puede que lo vote",0.199,0.1,0.139
"P43","Nunca lo votaría",0.633,0.546,0.568
"P43","No sabe",0.077,0.135,0.153
"P44","Lo votaría",0.059,0.113,0.156
"P44","Puede que lo vote",0.207,0.243,0.114
"P44","Nunca lo votaría",0.653,0.516,0.654
"P44","No sabe",0.081,0.128,0.076
"P47","Si",0.467,0.56,0.596
"P47","No",0.533,0.44,0.404
"P48","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.248,0.381,0.13
"P48","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.36,0.171,0.583
"P48","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.302,0.161,0.158
"P48","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.029,0.019,0
"P48","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.03,0.191,0.108
"P48","Otros",0.017,0.032,0.01
"P48","En blanco",0.014,0.045,0.011
"P49","Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.288,0.55,0.583
"P49","Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.431,0.325,0.085
"P49","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.179,0.048,0.107
"P49","Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.046,0.009,0
"P49","Otros",0.013,0.059,0.118
"P49","En blanco",0.043,0.009,0.107
"P50","Al candidato a intendente de Union por la Patria",0.276,0.405,0.596
"P50","Al candidato a intendente por Juntos por el Cambio",0.454,0.359,0.179
"P50","Al candidato a intendente por la Libertad Avanza",0.151,0.041,0.119
"P50","Al candidato a intendente por el Frente de Izquierda",0.04,0.047,0
"P50","Otros",0.037,0.133,0
"P50","En blanco",0.042,0.015,0.106
"P51","Totalmente seguro",0.692,0.418,0.512
"P51","Bastante seguro",0.159,0.298,0.133
"P51","Algo seguro",0.086,0.109,0.228
"P51","Para nada seguro",0.063,0.175,0.127
"P52","Si",0.468,0.41,0.269
"P52","No",0.532,0.59,0.731
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.365,0.326,0.3
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.243,0.18,0.269
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.306,0.279,0.183
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.023,0.026,0.099
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.016,0.051,0.036
"PRESIDENTE","Otros",0.019,0.033,0.003
"PRESIDENTE","En blanco",0.01,0.036,0.029
"PRESIDENTE","No sabe",0.018,0.069,0.081
"GOBERNADOR","Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.376,0.377,0.335
"GOBERNADOR","Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.264,0.268,0.134
"GOBERNADOR","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.273,0.208,0.2
"GOBERNADOR","Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.025,0.03,0.099
"GOBERNADOR","Otros",0.021,0.041,0.058
"GOBERNADOR","En blanco",0.018,0.039,0.069
"GOBERNADOR","No sabe",0.023,0.037,0.105
"CORTA_PRESIDENTE","Si",0.148,0.237,0.123
"CORTA_PRESIDENTE","No",0.852,0.763,0.877
"CORTA_GOBERNADOR","Si",0.209,0.272,0.353
"CORTA_GOBERNADOR","No",0.791,0.728,0.647
