"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Totalmente seguro",0.719,0.734,0.705,0.761,0.714,0.7,0.703,0.727,0.695,0.748,0.758,0.741,0.412,0.786,0.641,0.687,0.604,0.821,0.757,0.638
"Bastante seguro",0.131,0.129,0.133,0.151,0.13,0.123,0.122,0.103,0.152,0.131,0.116,0.137,0.275,0.085,0.191,0.166,0.164,0.126,0.114,0.168
"Algo seguro",0.087,0.088,0.085,0.06,0.085,0.09,0.118,0.088,0.095,0.071,0.076,0.083,0.141,0.09,0.1,0.089,0.135,0.042,0.068,0.125
"Para nada seguro",0.063,0.049,0.077,0.028,0.071,0.087,0.057,0.082,0.058,0.05,0.05,0.039,0.172,0.039,0.068,0.058,0.097,0.011,0.061,0.069
