"var","categoria","Unión por la Patria","Juntos por el Cambio","Liberales","Izquierda","Otro","No sabe"
"P06","Mucho",0.568,0.438,0.44,0.443,0.358,0.223
"P06","Bastante",0.282,0.388,0.317,0.337,0.328,0.292
"P06","Poco",0.125,0.146,0.214,0.18,0.185,0.212
"P06","Nada",0.02,0.024,0.024,0.016,0.079,0.22
"P06","No sabe",0.005,0.004,0.005,0.024,0.05,0.053
"P07","Siempre",0.339,0.272,0.237,0.115,0.166,0.174
"P07","Casi siempre",0.365,0.452,0.308,0.27,0.322,0.299
"P07","Casi nunca",0.21,0.204,0.32,0.413,0.384,0.301
"P07","Nunca, pero esta es una excepción",0.086,0.072,0.135,0.202,0.128,0.226
"P08","Tiene Decidido que va a ir a votar",0.913,0.91,0.935,0.883,0.875,0.766
"P08","Tiene dudas sobre si va a ir a  votar",0.05,0.062,0.052,0.071,0.053,0.171
"P08","Tiene Decidido que no va a ir a votar",0.037,0.028,0.013,0.046,0.072,0.063
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.921,0.071,0.02,0.14,0.062,0.155
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.021,0.838,0.105,0.09,0.086,0.057
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.03,0.057,0.854,0.074,0.561,0.209
"P20","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.013,0.005,0.006,0.525,0.029,0.018
"P20","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.002,0.008,0.003,0.079,0.125,0.018
"P20","Otros",0.001,0.011,0.003,0.082,0.091,0.154
"P20","En blanco",0.003,0.003,0.005,0.01,0.009,0.07
"P20","No sabe",0.009,0.007,0.004,0,0.037,0.319
"P23","Totalmente seguro",0.766,0.683,0.819,0.515,0.626,0.415
"P23","Bastante seguro",0.121,0.186,0.106,0.122,0.175,0.077
"P23","Algo seguro",0.08,0.082,0.06,0.241,0.09,0.159
"P23","Para nada seguro",0.033,0.049,0.015,0.122,0.109,0.349
"P30","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.652,0.081,0.062,0.144,0.114,0.161
"P30","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.072,0.594,0.303,0.092,0.212,0.09
"P30","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.063,0.176,0.489,0.252,0.366,0.178
"P30","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.083,0.024,0.014,0.276,0.005,0.042
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.027,0.025,0.029,0.163,0.125,0.043
"P30","Otros",0.02,0.031,0.033,0.014,0.114,0.163
"P30","En blanco",0.055,0.05,0.06,0.04,0.022,0.099
"P30","No sabe",0.028,0.019,0.01,0.019,0.042,0.224
"P31","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.907,0.107,0.046,0.269,0.124,0.232
"P31","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.019,0.83,0.6,0.396,0.319,0.221
"P31","En blanco",0.044,0.03,0.248,0.134,0.126,0.103
"P31","No sabe",0.03,0.033,0.106,0.201,0.431,0.444
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.16,0.83,0.132,0.298,0.069,0.123
"P32","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.059,0.097,0.824,0.193,0.676,0.291
"P32","En blanco",0.551,0.047,0.036,0.422,0.04,0.152
"P32","No sabe",0.23,0.026,0.008,0.087,0.215,0.434
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.89,0.117,0.04,0.327,0.121,0.208
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.05,0.47,0.895,0.305,0.643,0.275
"P33","En blanco",0.04,0.229,0.033,0.321,0.044,0.068
"P33","No sabe",0.02,0.184,0.032,0.047,0.192,0.449
"P40","Lo votaría",0.878,0.116,0.044,0.251,0.081,0.123
"P40","Puede que lo vote",0.059,0.048,0.108,0.332,0.241,0.236
"P40","Nunca lo votaría",0.051,0.814,0.832,0.381,0.593,0.357
"P40","No sabe",0.012,0.022,0.016,0.036,0.085,0.284
"P41","Lo votaría",0.069,0.785,0.275,0.087,0.049,0.141
"P41","Puede que lo vote",0.108,0.094,0.334,0.347,0.227,0.2
"P41","Nunca lo votaría",0.799,0.108,0.344,0.548,0.565,0.32
"P41","No sabe",0.024,0.013,0.047,0.018,0.159,0.339
"P42","Lo votaría",0.046,0.224,0.795,0.147,0.523,0.207
"P42","Puede que lo vote",0.053,0.312,0.124,0.36,0.19,0.198
"P42","Nunca lo votaría",0.886,0.42,0.054,0.475,0.23,0.257
"P42","No sabe",0.015,0.044,0.027,0.018,0.057,0.338
"P43","Lo votaría",0.129,0.041,0.088,0.544,0.031,0.07
"P43","Puede que lo vote",0.316,0.089,0.117,0.287,0.074,0.172
"P43","Nunca lo votaría",0.479,0.816,0.748,0.092,0.788,0.436
"P43","No sabe",0.076,0.054,0.047,0.077,0.107,0.322
"P44","Lo votaría",0.065,0.072,0.034,0.252,0.046,0.087
"P44","Puede que lo vote",0.221,0.173,0.217,0.324,0.094,0.229
"P44","Nunca lo votaría",0.641,0.704,0.692,0.398,0.764,0.327
"P44","No sabe",0.073,0.051,0.057,0.026,0.096,0.357
"P47","Si",0.34,0.56,0.529,0.786,0.417,0.602
"P47","No",0.66,0.44,0.471,0.214,0.583,0.398
"P48","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.753,0.028,0.073,0.237,0.042,0.14
