"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Mucho",0.425,0.459,0.394,0.43,0.426,0.429,0.412,0.442,0.349,0.531,0.49,0.466,0.276,0.543,0.514,0.429,0.382,0.433,0.439,0.395
"Bastante",0.315,0.291,0.336,0.308,0.295,0.312,0.371,0.203,0.383,0.342,0.293,0.332,0.299,0.288,0.275,0.402,0.336,0.31,0.298,0.349
"Poco",0.187,0.182,0.191,0.191,0.193,0.195,0.155,0.25,0.189,0.102,0.163,0.146,0.332,0.145,0.165,0.138,0.218,0.196,0.189,0.182
"Nada",0.051,0.046,0.057,0.034,0.064,0.051,0.047,0.072,0.056,0.017,0.042,0.04,0.091,0.017,0.046,0.026,0.029,0.038,0.052,0.051
"No sabe",0.022,0.022,0.022,0.037,0.022,0.013,0.015,0.033,0.023,0.008,0.012,0.016,0.002,0.007,0,0.005,0.035,0.023,0.022,0.023
