"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Si",0.477,0.437,0.512,0.447,0.484,0.506,0.455,0.375,0.506,0.539,0.416,0.522,0.463,0.326,0.445,0.632,0.541,0.426,0.473,0.486
"No",0.523,0.563,0.488,0.553,0.516,0.494,0.545,0.625,0.494,0.461,0.584,0.478,0.537,0.674,0.555,0.368,0.459,0.574,0.527,0.514
