"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P06","Mucho",0.551,0.425,0.493,0.339
"P06","Bastante",0.291,0.336,0.349,0.27
"P06","Poco",0.132,0.203,0.101,0.24
"P06","Nada",0.019,0.024,0.057,0.1
"P06","No sabe",0.007,0.012,0,0.051
"P07","Siempre",0.334,0.248,0.228,0.243
"P07","Casi siempre",0.398,0.386,0.441,0.365
"P07","Casi nunca",0.204,0.268,0.216,0.219
"P07","Nunca, pero esta es una excepción",0.064,0.098,0.115,0.173
"P08","Tiene Decidido que va a ir a votar",0.906,0.91,0.831,0.845
"P08","Tiene dudas sobre si va a ir a  votar",0.057,0.072,0.091,0.121
"P08","Tiene Decidido que no va a ir a votar",0.037,0.018,0.078,0.034
"P11","Unión por la Patria",0.834,0.045,0.161,0.073
"P11","Juntos por el Cambio",0.07,0.272,0.589,0.432
"P11","Liberales",0.025,0.553,0.092,0.08
"P11","Izquierda",0.02,0.018,0.084,0.011
"P11","Otro",0.012,0.062,0.019,0.074
"P11","No sabe",0.039,0.05,0.055,0.33
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.855,0.034,0.165,0.065
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.06,0.288,0.573,0.503
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.033,0.635,0.076,0.042
"P20","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.021,0.023,0.05,0.021
"P20","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.003,0.001,0.052,0.044
"P20","Otros",0.003,0.005,0.042,0.146
"P20","En blanco",0.002,0.008,0.021,0.001
"P20","No sabe",0.023,0.006,0.021,0.178
"P23","Totalmente seguro",0.756,0.738,0.699,0.498
"P23","Bastante seguro",0.126,0.161,0.109,0.146
"P23","Algo seguro",0.084,0.067,0.094,0.13
"P23","Para nada seguro",0.034,0.034,0.098,0.226
"P30","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.647,0.054,0.121,0.061
"P30","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.083,0.349,0.45,0.406
"P30","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.046,0.449,0.133,0.056
"P30","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.084,0.013,0.085,0.04
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.026,0.039,0.043,0.081
"P30","Otros",0.033,0.04,0.047,0.118
"P30","En blanco",0.048,0.042,0.116,0.059
"P30","No sabe",0.033,0.014,0.005,0.179
"P31","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.925,0.035,0.167,0.05
"P31","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.045,0.686,0.553,0.441
"P31","En blanco",0.026,0.163,0.21,0.06
"P31","No sabe",0.004,0.116,0.07,0.449
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.226,0.311,0.569,0.456
"P32","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.039,0.658,0.122,0.044
"P32","En blanco",0.528,0.025,0.275,0.044
"P32","No sabe",0.207,0.006,0.034,0.456
"P40","Lo votaría",0.881,0.056,0.134,0.069
"P40","Puede que lo vote",0.06,0.116,0.107,0.147
"P40","Nunca lo votaría",0.048,0.816,0.713,0.511
"P40","No sabe",0.011,0.012,0.046,0.273
"P41","Lo votaría",0.081,0.403,0.565,0.467
"P41","Puede que lo vote",0.133,0.265,0.076,0.082
"P41","Nunca lo votaría",0.759,0.296,0.34,0.159
"P41","No sabe",0.027,0.036,0.019,0.292
"P42","Lo votaría",0.029,0.644,0.156,0.107
"P42","Puede que lo vote",0.076,0.247,0.094,0.164
"P42","Nunca lo votaría",0.876,0.082,0.698,0.45
"P42","No sabe",0.019,0.027,0.052,0.279
"P43","Lo votaría",0.159,0.073,0.054,0.032
"P43","Puede que lo vote",0.319,0.116,0.092,0.087
"P43","Nunca lo votaría",0.449,0.749,0.841,0.603
"P43","No sabe",0.073,0.062,0.013,0.278
"P44","Lo votaría",0.087,0.05,0.06,0.05
"P44","Puede que lo vote",0.244,0.206,0.122,0.145
"P44","Nunca lo votaría",0.592,0.689,0.779,0.531
"P44","No sabe",0.077,0.055,0.039,0.274
"P47","Si",0.373,0.556,0.412,0.611
"P47","No",0.627,0.444,0.588,0.389
"P48","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.699,0.032,0.149,0.098
"P48","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.124,0.439,0.472,0.51
"P48","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.076,0.487,0.171,0.081
"P48","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.046,0.006,0.035,0.063
"P48","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.033,0.034,0.119,0.074
"P48","Otros",0.015,0.002,0.007,0.094
"P48","En blanco",0.007,0,0.047,0.08
"P49","Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.799,0.077,0.201,0.126
"P49","Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.078,0.59,0.57,0.431
"P49","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.038,0.284,0.116,0.055
"P49","Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.054,0.017,0.023,0.118
"P49","Otros",0.015,0.011,0.073,0.041
"P49","En blanco",0.016,0.021,0.017,0.229
"P50","Al candidato a intendente de Union por la Patria",0.699,0.097,0.27,0.121
"P50","Al candidato a intendente por Juntos por el Cambio",0.154,0.577,0.599,0.461
"P50","Al candidato a intendente por la Libertad Avanza",0.015,0.266,0.069,0.011
"P50","Al candidato a intendente por el Frente de Izquierda",0.072,0.003,0.009,0.117
"P50","Otros",0.047,0.037,0.035,0.063
"P50","En blanco",0.013,0.02,0.018,0.227
"P51","Totalmente seguro",0.762,0.674,0.493,0.479
"P51","Bastante seguro",0.098,0.217,0.206,0.132
"P51","Algo seguro",0.094,0.064,0.22,0.128
"P51","Para nada seguro",0.046,0.045,0.081,0.261
"P52","Si",0.521,0.42,0.387,0.435
"P52","No",0.479,0.58,0.613,0.565
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.842,0.031,0.171,0.068
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.063,0.302,0.562,0.515
