"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P06","Mucho",0.546,0.447,0.429,0.371,0.429,0.347,0.234,0.211
"P06","Bastante",0.285,0.394,0.31,0.204,0.313,0.246,0.301,0.303
"P06","Poco",0.13,0.134,0.212,0.332,0.206,0.248,0.095,0.182
"P06","Nada",0.029,0.024,0.024,0.054,0.052,0.159,0.37,0.262
"P06","No sabe",0.01,0.001,0.025,0.039,0,0,0,0.042
"P07","Siempre",0.327,0.274,0.218,0.162,0.129,0.143,0.313,0.16
"P07","Casi siempre",0.374,0.464,0.329,0.341,0.293,0.185,0.244,0.328
"P07","Casi nunca",0.207,0.199,0.323,0.263,0.374,0.469,0.284,0.297
"P07","Nunca, pero esta es una excepción",0.092,0.063,0.13,0.234,0.204,0.203,0.159,0.215
"P08","Tiene Decidido que va a ir a votar",0.921,0.911,0.93,0.822,0.875,0.83,0.706,0.816
"P08","Tiene dudas sobre si va a ir a  votar",0.06,0.065,0.049,0.08,0.035,0.149,0.226,0.104
"P08","Tiene Decidido que no va a ir a votar",0.019,0.024,0.021,0.098,0.09,0.021,0.068,0.08
"P11","Unión por la Patria",0.885,0.03,0.037,0.165,0.057,0.019,0.112,0.09
"P11","Juntos por el Cambio",0.045,0.808,0.046,0.049,0.134,0.108,0.066,0.047
"P11","Liberales",0.014,0.113,0.753,0.058,0.06,0.028,0.148,0.029
"P11","Izquierda",0.012,0.012,0.008,0.617,0.18,0.111,0.034,0
"P11","Otro",0.009,0.018,0.098,0.055,0.462,0.199,0.047,0.057
"P11","No sabe",0.035,0.019,0.058,0.056,0.107,0.535,0.593,0.777
"P23","Totalmente seguro",0.747,0.691,0.799,0.494,0.428,0.608,0.433,0.303
"P23","Bastante seguro",0.117,0.179,0.135,0.088,0.028,0.104,0,0.031
"P23","Algo seguro",0.092,0.091,0.056,0.13,0.266,0.021,0.174,0.184
"P23","Para nada seguro",0.044,0.039,0.01,0.288,0.278,0.267,0.393,0.482
"P30","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.662,0.06,0.072,0.241,0.041,0.115,0.069,0.115
"P30","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.067,0.618,0.271,0.043,0.129,0.024,0,0.063
"P30","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.052,0.177,0.513,0.147,0.238,0.015,0.553,0.085
"P30","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.09,0.029,0.012,0.197,0.039,0,0,0.037
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.025,0.026,0.031,0.171,0.229,0.216,0,0
"P30","Otros",0.021,0.034,0.036,0.014,0.106,0.357,0.032,0.164
"P30","En blanco",0.048,0.037,0.05,0.155,0.188,0.196,0.346,0.099
"P30","No sabe",0.035,0.019,0.015,0.032,0.03,0.077,0,0.437
"P31","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.922,0.064,0.073,0.353,0.085,0.05,0.163,0.321
"P31","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.02,0.888,0.529,0.213,0.433,0.086,0.381,0.109
"P31","En blanco",0.034,0.022,0.236,0.248,0.043,0.219,0.435,0.025
"P31","No sabe",0.024,0.026,0.162,0.186,0.439,0.645,0.021,0.545
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.166,0.867,0.076,0.223,0.089,0.111,0,0.211
"P32","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.05,0.098,0.873,0.154,0.044,0.102,0.531,0.057
"P32","En blanco",0.561,0.018,0.027,0.551,0.312,0.13,0.448,0.113
"P32","No sabe",0.223,0.017,0.024,0.072,0.555,0.657,0.021,0.619
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.908,0.1,0.047,0.348,0.116,0.048,0.124,0.3
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.037,0.487,0.915,0.384,0.044,0.105,0.536,0.081
"P33","En blanco",0.039,0.213,0.024,0.185,0.439,0.179,0.32,0.06
"P33","No sabe",0.016,0.2,0.014,0.083,0.401,0.668,0.02,0.559
"P40","Lo votaría",0.893,0.096,0.048,0.248,0.036,0.041,0.06,0.203
"P40","Puede que lo vote",0.052,0.058,0.125,0.277,0.441,0.373,0.445,0.184
"P40","Nunca lo votaría",0.042,0.823,0.814,0.38,0.198,0.156,0.475,0.211
"P40","No sabe",0.013,0.023,0.013,0.095,0.325,0.43,0.02,0.402
"P41","Lo votaría",0.075,0.785,0.226,0.14,0.118,0.062,0,0.042
"P41","Puede que lo vote",0.116,0.098,0.32,0.177,0.373,0.133,0.497,0.224
"P41","Nunca lo votaría",0.783,0.097,0.394,0.667,0.427,0.323,0.48,0.293
"P41","No sabe",0.026,0.02,0.06,0.016,0.082,0.482,0.023,0.441
"P42","Lo votaría",0.029,0.218,0.847,0.184,0,0.035,0,0.034
"P42","Puede que lo vote",0.047,0.366,0.08,0.289,0.454,0.121,0.52,0.202
"P42","Nunca lo votaría",0.901,0.375,0.056,0.505,0.328,0.362,0.444,0.276
"P42","No sabe",0.023,0.041,0.017,0.022,0.218,0.482,0.036,0.488
"P43","Lo votaría",0.134,0.043,0.091,0.554,0.02,0.008,0,0.024
"P43","Puede que lo vote",0.322,0.051,0.11,0.198,0.499,0.341,0.568,0.201
"P43","Nunca lo votaría",0.461,0.858,0.754,0.085,0.423,0.188,0.396,0.331
"P43","No sabe",0.083,0.048,0.045,0.163,0.058,0.463,0.036,0.444
"P44","Lo votaría",0.068,0.058,0.057,0.109,0.41,0.018,0,0.073
"P44","Puede que lo vote",0.238,0.149,0.205,0.434,0.045,0.289,0.493,0.145
"P44","Nunca lo votaría",0.607,0.751,0.682,0.396,0.513,0.299,0.482,0.265
