"var","categoria","Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria","Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Otros","En blanco"
"P06","Mucho",0.534,0.49,0.306,0.626,0.455,0.135
"P06","Bastante",0.307,0.396,0.499,0.266,0.418,0.535
"P06","Poco",0.149,0.095,0.186,0.048,0.063,0.33
"P06","Nada",0.01,0.017,0.009,0.011,0.064,0
"P06","No sabe",0,0.002,0,0.049,0,0
"P07","Siempre",0.249,0.339,0.188,0.162,0.29,0.044
"P07","Casi siempre",0.396,0.422,0.448,0.331,0.271,0.621
"P07","Casi nunca",0.274,0.178,0.272,0.305,0.174,0.307
"P07","Nunca, pero esta es una excepción",0.081,0.061,0.092,0.202,0.265,0.028
"P08","Tiene Decidido que va a ir a votar",0.791,0.928,0.951,0.983,0.551,0.886
"P08","Tiene dudas sobre si va a ir a  votar",0.138,0.064,0.024,0.017,0.227,0.017
"P08","Tiene Decidido que no va a ir a votar",0.071,0.008,0.025,0,0.222,0.097
"P11","Unión por la Patria",0.715,0.056,0.038,0.252,0.049,0.062
"P11","Juntos por el Cambio",0.041,0.566,0.158,0,0.392,0.163
"P11","Liberales",0.108,0.313,0.637,0.077,0.09,0.144
"P11","Izquierda",0.059,0.005,0.058,0.6,0,0
"P11","Otro",0.014,0.019,0.051,0.06,0.157,0.049
"P11","No sabe",0.063,0.041,0.058,0.011,0.312,0.582
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.731,0.058,0.035,0.474,0.203,0.087
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.067,0.638,0.211,0.113,0.192,0.122
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.095,0.284,0.67,0,0.167,0.156
"P20","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.05,0.004,0.012,0.38,0,0
"P20","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.001,0.002,0.057,0.011,0.332,0.028
