"var","categoria","Al candidato a intendente de Union por la Patria","Al candidato a intendente por Juntos por el Cambio","Al candidato a intendente por la Libertad Avanza","Al candidato a intendente por el Frente de Izquierda","Otros","En blanco"
"P44","Puede que lo vote",0.277,0.231,0.281,0.381,0.126,0.039
"P44","Nunca lo votaría",0.46,0.679,0.549,0.252,0.392,0.237
"P44","No sabe",0.068,0.034,0.105,0.015,0.434,0.684
"P48","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.669,0.062,0.038,0.503,0.135,0.104
"P48","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.139,0.592,0.238,0.15,0.183,0.367
"P48","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.066,0.326,0.682,0.039,0.343,0.041
"P48","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.019,0.001,0.002,0.293,0.037,0.084
"P48","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.087,0.013,0.04,0,0.255,0.009
"P48","Otros",0.015,0.004,0,0,0.024,0.141
"P48","En blanco",0.005,0.002,0,0.015,0.023,0.254
"P49","Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.86,0.05,0.071,0.305,0.336,0.163
"P49","Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.094,0.701,0.386,0.077,0.389,0.047
"P49","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.031,0.185,0.469,0.163,0.054,0.05
"P49","Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.002,0.05,0.002,0.433,0.061,0
"P49","Otros",0.001,0.006,0.05,0.011,0.123,0
"P49","En blanco",0.012,0.008,0.022,0.011,0.037,0.74
"P51","Totalmente seguro",0.652,0.703,0.791,0.324,0.425,0.449
"P51","Bastante seguro",0.175,0.161,0.124,0.321,0.364,0.02
"P51","Algo seguro",0.127,0.071,0.046,0.197,0.159,0.097
"P51","Para nada seguro",0.046,0.065,0.039,0.158,0.052,0.434
"P52","Si",0.594,0.449,0.518,0.558,0.513,0.693
"P52","No",0.406,0.551,0.482,0.442,0.487,0.307
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.669,0.062,0.038,0.503,0.135,0.104
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.139,0.592,0.238,0.15,0.183,0.367
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.066,0.326,0.682,0.039,0.343,0.041
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.019,0.001,0.002,0.293,0.037,0.084
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.087,0.013,0.04,0,0.255,0.009
"PRESIDENTE","Otros",0.015,0.004,0,0,0.024,0.141
"PRESIDENTE","En blanco",0.005,0.002,0,0.015,0.023,0.254
"PRESIDENTE","No sabe",0,0,0,0,0,0
"GOBERNADOR","Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.86,0.05,0.071,0.305,0.336,0.163
"GOBERNADOR","Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.094,0.701,0.386,0.077,0.389,0.047
"GOBERNADOR","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.031,0.185,0.469,0.163,0.054,0.05
"GOBERNADOR","Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.002,0.05,0.002,0.433,0.061,0
"GOBERNADOR","Otros",0.001,0.006,0.05,0.011,0.123,0
"GOBERNADOR","En blanco",0.012,0.008,0.022,0.011,0.037,0.74
"GOBERNADOR","No sabe",0,0,0,0,0,0
"CORTA_PRESIDENTE","Si",0.298,0.218,0.228,0.252,0.589,0.646
"CORTA_PRESIDENTE","No",0.702,0.782,0.772,0.748,0.411,0.354
"CORTA_GOBERNADOR","Si",0.301,0.324,0.498,0.732,0.328,0.805
"CORTA_GOBERNADOR","No",0.699,0.676,0.502,0.268,0.672,0.195
