"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Si",0.457,0.46,0.454,0.388,0.485,0.469,0.454,0.426,0.465,0.477,0.483,0.449,0.421,0.561,0.415,0.455,0.489,0.359,0.461,0.449
"No",0.543,0.54,0.546,0.612,0.515,0.531,0.546,0.574,0.535,0.523,0.517,0.551,0.579,0.439,0.585,0.545,0.511,0.641,0.539,0.551
