"var","categoria","Si","No"
"P06","Mucho",0.372,0.515
"P06","Bastante",0.403,0.293
"P06","Poco",0.183,0.152
"P06","Nada",0.03,0.028
"P06","No sabe",0.012,0.012
"P07","Siempre",0.21,0.273
"P07","Casi siempre",0.413,0.426
"P07","Casi nunca",0.28,0.211
"P07","Nunca, pero esta es una excepción",0.097,0.09
"P08","Tiene Decidido que va a ir a votar",0.87,0.913
"P08","Tiene dudas sobre si va a ir a  votar",0.089,0.066
"P08","Tiene Decidido que no va a ir a votar",0.041,0.021
"P11","Unión por la Patria",0.159,0.422
"P11","Juntos por el Cambio",0.21,0.267
"P11","Liberales",0.341,0.219
"P11","Izquierda",0.073,0.015
"P11","Otro",0.037,0.03
"P11","No sabe",0.18,0.047
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.156,0.432
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.226,0.281
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.368,0.242
"P20","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.043,0.015
"P20","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.046,0.001
"P20","Otros",0.064,0.01
"P20","En blanco",0.009,0.005
"P20","No sabe",0.088,0.014
"P23","Totalmente seguro",0.528,0.776
"P23","Bastante seguro",0.195,0.133
"P23","Algo seguro",0.156,0.065
"P23","Para nada seguro",0.121,0.026
"P30","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.173,0.321
"P30","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.313,0.254
"P30","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.169,0.234
"P30","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.05,0.056
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.094,0.028
"P30","Otros",0.077,0.034
"P30","En blanco",0.047,0.046
"P30","No sabe",0.077,0.027
"P31","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.226,0.447
"P31","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.523,0.386
"P31","En blanco",0.08,0.094
"P31","No sabe",0.171,0.073
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.336,0.338
"P32","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.347,0.276
"P32","En blanco",0.129,0.275
"P32","No sabe",0.188,0.111
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.229,0.433
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.524,0.386
"P33","En blanco",0.07,0.1
"P33","No sabe",0.177,0.081
"P40","Lo votaría",0.194,0.435
"P40","Puede que lo vote",0.175,0.07
"P40","Nunca lo votaría",0.524,0.473
"P40","No sabe",0.107,0.022
"P41","Lo votaría",0.33,0.311
"P41","Puede que lo vote",0.28,0.143
"P41","Nunca lo votaría",0.266,0.514
"P41","No sabe",0.124,0.032
"P42","Lo votaría",0.402,0.282
"P42","Puede que lo vote",0.189,0.153
"P42","Nunca lo votaría",0.287,0.536
"P42","No sabe",0.122,0.029
"P43","Lo votaría",0.125,0.09
"P43","Puede que lo vote",0.16,0.205
"P43","Nunca lo votaría",0.552,0.647
"P43","No sabe",0.163,0.058
"P44","Lo votaría",0.11,0.053
"P44","Puede que lo vote",0.224,0.208
"P44","Nunca lo votaría",0.515,0.678
"P44","No sabe",0.151,0.061
"P47","Si",1,0.332
"P47","No",0,0.668
"P48","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.154,0.321
"P48","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.305,0.388
"P48","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.345,0.244
"P48","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.045,0.016
"P48","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.08,0.023
"P48","Otros",0.033,0.007
"P48","En blanco",0.038,0.001
"P49","Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.229,0.376
"P49","Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.392,0.419
"P49","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.145,0.178
"P49","Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.068,0.025
"P49","Otros",0.053,0.001
"P49","En blanco",0.113,0.001
"P50","Al candidato a intendente de Union por la Patria",0.239,0.337
"P50","Al candidato a intendente por Juntos por el Cambio",0.373,0.472
"P50","Al candidato a intendente por la Libertad Avanza",0.186,0.114
"P50","Al candidato a intendente por el Frente de Izquierda",0.075,0.017
"P50","Otros",0.037,0.047
"P50","En blanco",0.09,0.013
"P51","Totalmente seguro",0.469,0.781
"P51","Bastante seguro",0.212,0.143
"P51","Algo seguro",0.171,0.047
"P51","Para nada seguro",0.148,0.029
"P52","Si",0.495,0.456
"P52","No",0.505,0.544
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.152,0.419
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.305,0.268
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.34,0.263
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.047,0.012
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.083,0.007
"PRESIDENTE","Otros",0.034,0.012
"PRESIDENTE","En blanco",0.039,0.005
"PRESIDENTE","No sabe",0,0.014
"GOBERNADOR","Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.214,0.432
"GOBERNADOR","Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.379,0.281
"GOBERNADOR","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.182,0.242
"GOBERNADOR","Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.05,0.015
"GOBERNADOR","Otros",0.056,0.01
"GOBERNADOR","En blanco",0.086,0.006
"GOBERNADOR","No sabe",0.033,0.014
"CORTA_PRESIDENTE","Si",0.548,0.044
"CORTA_PRESIDENTE","No",0.452,0.956
