"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P06","Mucho",0.515,0.449,0.482,0.554,0.364,0.38,0.416,0.276
"P06","Bastante",0.318,0.335,0.29,0.24,0.3,0.333,0.283,0.314
"P06","Poco",0.13,0.198,0.163,0.139,0.26,0.194,0.195,0.283
"P06","Nada",0.024,0.013,0.033,0.067,0.019,0.09,0.106,0.084
"P06","No sabe",0.013,0.005,0.032,0,0.057,0.003,0,0.043
"P07","Siempre",0.331,0.231,0.237,0.235,0.175,0.21,0.32,0.243
"P07","Casi siempre",0.387,0.437,0.334,0.5,0.433,0.328,0.293,0.391
"P07","Casi nunca",0.195,0.255,0.291,0.166,0.261,0.36,0.226,0.216
"P07","Nunca, pero esta es una excepción",0.087,0.077,0.138,0.099,0.131,0.102,0.161,0.15
"P08","Tiene Decidido que va a ir a votar",0.916,0.925,0.9,0.841,0.891,0.9,0.857,0.905
"P08","Tiene dudas sobre si va a ir a  votar",0.059,0.058,0.077,0.127,0.056,0.097,0.049,0.039
"P08","Tiene Decidido que no va a ir a votar",0.025,0.017,0.023,0.032,0.053,0.003,0.094,0.056
"P11","Unión por la Patria",0.81,0.102,0.102,0.606,0.275,0.18,0.354,0.277
"P11","Juntos por el Cambio",0.063,0.526,0.179,0.11,0.158,0.174,0.202,0.119
"P11","Liberales",0.054,0.3,0.557,0.071,0.206,0.204,0.27,0.071
"P11","Izquierda",0.013,0.009,0.029,0.143,0.118,0.008,0.019,0.013
"P11","Otro",0.017,0.035,0.07,0.004,0.148,0.119,0.017,0.048
"P11","No sabe",0.043,0.028,0.063,0.066,0.095,0.315,0.138,0.472
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.836,0.098,0.086,0.665,0.256,0.188,0.316,0.342
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.049,0.577,0.19,0.139,0.176,0.198,0.156,0.122
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.071,0.307,0.668,0.069,0.251,0.26,0.256,0.118
"P20","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.02,0.004,0.016,0.097,0.118,0.009,0.068,0.021
"P20","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.001,0.005,0.01,0.008,0.064,0.026,0.033,0.008
"P20","Otros",0.009,0.002,0.002,0,0.135,0.196,0.078,0.046
"P20","En blanco",0.002,0,0.017,0,0,0.005,0.041,0
"P20","No sabe",0.012,0.007,0.011,0.022,0,0.118,0.052,0.343
"P23","Totalmente seguro",0.743,0.735,0.776,0.695,0.634,0.665,0.649,0.425
"P23","Bastante seguro",0.146,0.164,0.11,0.099,0.212,0.072,0.084,0.171
"P23","Algo seguro",0.083,0.077,0.073,0.094,0.134,0.103,0.065,0.148
"P23","Para nada seguro",0.028,0.024,0.041,0.112,0.02,0.16,0.202,0.256
