"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Si",0.217,0.202,0.231,0.312,0.237,0.194,0.114,0.181,0.238,0.225,0.196,0.187,0.275,0.097,0.228,0.236,0.312,0.239,0.212,0.227
"No",0.783,0.798,0.769,0.688,0.763,0.806,0.886,0.819,0.762,0.775,0.804,0.813,0.725,0.903,0.772,0.764,0.688,0.761,0.788,0.773
