"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.375,0.359,0.39,0.308,0.39,0.418,0.362,0.373,0.355,0.409,0.714,0.121,0.156,0.825,0.706,0.037,0.136,0.041,0.394,0.335
"Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.261,0.235,0.286,0.135,0.213,0.315,0.437,0.238,0.273,0.271,0.084,0.498,0.175,0.072,0.094,0.781,0.502,0.124,0.252,0.281
"Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.267,0.331,0.209,0.456,0.3,0.159,0.126,0.276,0.285,0.229,0.13,0.338,0.394,0.065,0.11,0.149,0.227,0.792,0.267,0.268
"Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.027,0.018,0.036,0.036,0.026,0.028,0.019,0.033,0.016,0.037,0.026,0.002,0.165,0.009,0.052,0.001,0.015,0.015,0.022,0.037
"Otros",0.023,0.019,0.026,0.017,0.027,0.028,0.015,0.026,0.023,0.019,0.012,0.007,0.034,0.005,0.013,0.014,0.04,0.005,0.024,0.021
"En blanco",0.021,0.024,0.017,0.034,0.02,0.016,0.013,0.023,0.02,0.019,0.016,0.018,0.049,0.013,0.005,0.005,0.032,0.012,0.022,0.018
"No sabe",0.026,0.014,0.036,0.014,0.024,0.036,0.028,0.031,0.028,0.016,0.018,0.016,0.027,0.011,0.02,0.013,0.048,0.011,0.019,0.04
