"clase","Todos","Masculino","Femenino","No binario","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si, tengo un emprendimiento",0.262,0.303,0.222,0.276,0.224,0.316,0.273,0.183,0.236,0.272,0.29,0.311,0.318,0.208,0.243,0.209,0.222,0.288,0.223,0.226,0.279
"No, no tengo ningún emprendimiento",0.738,0.697,0.778,0.724,0.776,0.684,0.727,0.817,0.764,0.728,0.71,0.689,0.682,0.792,0.757,0.791,0.778,0.712,0.777,0.774,0.721
