"clase","Todos","Masculino","Femenino","No binario","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Menos de $1.500.000",0.412,0.333,0.514,0.254,0.493,0.373,0.359,0.451,0.535,0.344,0.336,0.405,0.439,0.404,0.428,0.379,0.412,0.457,0.235,0.462,0.317
"de $1.500.000 a $3.000.000",0.292,0.287,0.283,0.379,0.334,0.295,0.324,0.167,0.269,0.293,0.326,0.244,0.282,0.23,0.275,0.385,0.33,0.28,0.576,0.234,0.265
"de $3.000.000 a $5.000.000",0.104,0.145,0.065,0.096,0.034,0.114,0.148,0.131,0.091,0.119,0.099,0.116,0.088,0.17,0.112,0,0.099,0.066,0.11,0.133,0.088
"Más de $5.000.000",0.192,0.235,0.138,0.271,0.139,0.218,0.169,0.251,0.105,0.244,0.239,0.235,0.191,0.196,0.185,0.236,0.159,0.197,0.079,0.171,0.33
