"clase","Todos","Masculino","Femenino","No binario","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si",0.851,0.888,0.878,0.415,0.725,0.858,0.896,0.919,0.882,0.866,0.772,0.752,0.941,0.829,0.842,0.849,0.792,0.852,0.866,0.84,0.862
"No",0.149,0.112,0.122,0.585,0.275,0.142,0.104,0.081,0.118,0.134,0.228,0.248,0.059,0.171,0.158,0.151,0.208,0.148,0.134,0.16,0.138
