"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.886,0.899,0.755,0.723
"P06","Tiene dudas sobre si va a ir a  votar",0.087,0.082,0.211,0.191
"P06","Tiene Decidido que no va a ir a votar",0.027,0.019,0.034,0.086
"P07","Mucho",0.537,0.445,0.465,0.274
"P07","Bastante",0.279,0.355,0.333,0.203
"P07","Poco",0.124,0.138,0.105,0.321
"P07","Nada",0.059,0.028,0.069,0.149
"P07","No sabe",0.001,0.034,0.028,0.053
"P08","Siempre",0.313,0.317,0.216,0.178
"P08","Casi siempre",0.316,0.422,0.308,0.194
"P08","Casi nunca",0.28,0.208,0.324,0.42
"P08","Nunca, pero esta es una excepción",0.091,0.053,0.152,0.208
"P11","Unión por la Patria",0.649,0.03,0.12,0.087
"P11","Juntos por el Cambio",0.075,0.591,0.085,0.109
"P11","Juntos Somos Río Negro",0.135,0.108,0.099,0.165
"P11","Liberales",0.022,0.141,0.413,0.208
"P11","Izquierda",0.026,0.025,0.1,0.075
"P11","Otro",0.044,0.039,0.062,0.082
"P11","No sabe",0.049,0.066,0.121,0.274
"P12","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.645,0.009,0.026,0.064
"P12","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.173,0.006,0.109,0.075
"P12","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.08,0.507,0.075,0.087
"P12","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.01,0.202,0.04,0.031
"P12","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.045,0.071,0.034,0.07
"P12","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.027,0.164,0.591,0.414
"P12","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.008,0.004,0.037,0.024
"P12","En blanco",0.003,0.004,0.024,0.033
"P12","No sabe",0.009,0.033,0.064,0.202
"P16","Totalmente seguro",0.688,0.57,0.684,0.419
