"var","categoria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.841,0.865,0.842,0.828
"P06","Tiene dudas sobre si va a ir a  votar",0.129,0.114,0.132,0.113
"P06","Tiene Decidido que no va a ir a votar",0.03,0.021,0.026,0.059
"P07","Mucho",0.488,0.446,0.485,0.276
"P07","Bastante",0.332,0.314,0.291,0.249
"P07","Poco",0.138,0.134,0.177,0.222
"P07","Nada",0.011,0.075,0.046,0.209
"P07","No sabe",0.031,0.031,0.001,0.044
"P08","Siempre",0.308,0.248,0.282,0.225
"P08","Casi siempre",0.383,0.327,0.316,0.274
"P08","Casi nunca",0.243,0.277,0.318,0.334
"P08","Nunca, pero esta es una excepción",0.066,0.148,0.084,0.167
"P11","Unión por la Patria",0.134,0.029,0.589,0.369
"P11","Juntos por el Cambio",0.566,0.135,0.069,0.122
"P11","Juntos Somos Río Negro",0.126,0.123,0.118,0.137
"P11","Liberales",0.025,0.518,0.049,0.033
"P11","Izquierda",0.027,0.051,0.04,0.078
"P11","Otro",0.043,0.079,0.034,0.037
"P11","No sabe",0.079,0.065,0.101,0.224
"P12","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.181,0.01,0.514,0.329
"P12","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.023,0.018,0.201,0.129
"P12","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.466,0.174,0.061,0.07
"P12","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.193,0.051,0.004,0.046
"P12","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.068,0.033,0.057,0.058
