"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.323,0.312,0.334,0.278,0.311,0.39,0.334,0.307,0.293,0.398,0.602,0.097,0.284,0.323,0.144,0.795,0.241,0.347,0.298,0.31,0.346,0.379
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.361,0.381,0.342,0.293,0.339,0.399,0.486,0.299,0.407,0.368,0.138,0.665,0.496,0.343,0.592,0.056,0.354,0.342,0.374,0.291,0.451,0.296
"En blanco",0.119,0.159,0.081,0.206,0.116,0.081,0.032,0.128,0.131,0.084,0.098,0.094,0.087,0.093,0.134,0.039,0.168,0.097,0.131,0.021,0.061,0.244
"No sabe",0.197,0.148,0.243,0.223,0.234,0.13,0.148,0.266,0.169,0.15,0.162,0.144,0.133,0.241,0.13,0.11,0.237,0.214,0.197,0.378,0.142,0.081
