"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta"
"Unión por la Patria",0.214,0.225,0.203,0.177,0.197,0.257,0.269,0.194,0.203,0.262,0.399,0.082,0.153,0.274,0.067,0.592,0.186,0.266,0.185,0.119,0.279,0.235
"Juntos por el Cambio",0.231,0.242,0.22,0.142,0.209,0.286,0.394,0.163,0.256,0.286,0.102,0.503,0.309,0.173,0.504,0.018,0.071,0.221,0.248,0.19,0.229,0.202
"Liberales",0.141,0.191,0.094,0.182,0.173,0.084,0.055,0.116,0.169,0.128,0.075,0.182,0.178,0.086,0.202,0.062,0.49,0.114,0.157,0.219,0.099,0.115
"Izquierda",0.052,0.058,0.047,0.069,0.059,0.026,0.036,0.055,0.047,0.057,0.056,0.029,0.008,0.023,0.011,0.072,0.11,0.083,0.049,0,0.072,0.008
"Juntos Somos Río Negro",0.141,0.114,0.166,0.16,0.145,0.137,0.093,0.2,0.11,0.111,0.196,0.083,0.122,0.27,0.066,0.166,0.046,0.141,0.13,0.133,0.154,0.188
"Otro",0.048,0.043,0.053,0.037,0.07,0.043,0.014,0.06,0.045,0.036,0.04,0.052,0.14,0.019,0.06,0.024,0.072,0.049,0.044,0.078,0.038,0.056
"No sabe",0.173,0.127,0.217,0.233,0.147,0.167,0.139,0.212,0.17,0.12,0.132,0.069,0.09,0.155,0.09,0.066,0.025,0.126,0.187,0.261,0.129,0.196
