"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.341,0.334,0.348,0.354,0.283,0.428,0.35,0.354,0.301,0.393,0.59,0.142,0.427,0.369,0.174,0.798,0.206,0.368,0.311,0.248,0.369,0.472
"Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.307,0.295,0.318,0.191,0.321,0.32,0.451,0.217,0.338,0.377,0.102,0.581,0.424,0.284,0.511,0.07,0.22,0.323,0.296,0.309,0.374,0.246
"En blanco",0.191,0.242,0.142,0.299,0.206,0.11,0.079,0.233,0.197,0.121,0.186,0.143,0.095,0.193,0.198,0.027,0.287,0.154,0.222,0.204,0.127,0.18
"No sabe",0.161,0.129,0.192,0.156,0.19,0.142,0.12,0.196,0.164,0.109,0.122,0.134,0.054,0.154,0.117,0.105,0.287,0.155,0.171,0.239,0.13,0.102
