"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.878,0.848,0.827,0.747
"P06","Tiene dudas sobre si va a ir a  votar",0.101,0.119,0.11,0.216
"P06","Tiene Decidido que no va a ir a votar",0.021,0.033,0.063,0.037
"P07","Mucho",0.568,0.414,0.406,0.299
"P07","Bastante",0.256,0.358,0.325,0.248
"P07","Poco",0.135,0.168,0.122,0.255
"P07","Nada",0.034,0.038,0.134,0.121
"P07","No sabe",0.007,0.022,0.013,0.077
"P08","Siempre",0.335,0.257,0.218,0.205
"P08","Casi siempre",0.35,0.383,0.219,0.236
"P08","Casi nunca",0.26,0.276,0.327,0.323
"P08","Nunca, pero esta es una excepción",0.055,0.084,0.236,0.236
"P11","Unión por la Patria",0.679,0.047,0.096,0.118
"P11","Juntos por el Cambio",0.034,0.552,0.088,0.086
"P11","Juntos Somos Río Negro",0.12,0.085,0.124,0.208
"P11","Liberales",0.028,0.185,0.354,0.187
"P11","Izquierda",0.051,0.024,0.114,0.075
"P11","Otro",0.028,0.03,0.081,0.105
"P11","No sabe",0.06,0.077,0.143,0.221
"P12","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.683,0.017,0,0.059
"P12","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.179,0.017,0.094,0.085
"P12","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.019,0.521,0.029,0.038
"P12","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.025,0.101,0.104,0.114
"P12","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.06,0.072,0.023,0.063
"P12","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.012,0.247,0.599,0.344
"P12","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.007,0.004,0.045,0.038
"P12","En blanco",0.003,0.001,0.047,0.026
"P12","No sabe",0.012,0.02,0.059,0.233
"P16","Totalmente seguro",0.679,0.601,0.638,0.412
"P16","Bastante seguro",0.14,0.18,0.108,0.071
"P16","Algo seguro",0.125,0.127,0.047,0.183
"P16","Para nada seguro",0.056,0.092,0.207,0.334
"P17","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.571,0,0,0
"P17","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y por Unión por la Patria",0.07,0.021,0,0
"P17","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.027,0.346,0,0.094
"P17","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.124,0.182,0,0.034
"P17","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza",0,0.108,0,0.12
"P17","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda",0.02,0,0,0
"P17","En blanco",0.085,0.32,0.327,0.543
"P17","No sabe",0.103,0.023,0.673,0.209
"P20","Sí",0.447,0.575,0.591,0.548
"P20","No",0.553,0.425,0.409,0.452
"P21","Martín Soria a Diputado Nacional por Unión por la Patria",0.594,0.095,0.204,0.223
"P21","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.113,0.299,0.095,0.036
"P21","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.023,0.122,0.093,0.032
"P21","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.108,0.172,0.035,0.145
"P21","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.034,0.194,0.378,0.112
"P21","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.043,0.002,0.081,0.066
"P21","En blanco",0.022,0.051,0.071,0.018
"P21","No sabe",0.063,0.065,0.043,0.368
"P25","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.778,0.007,0.01,0.091
"P25","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.042,0.556,0.032,0.033
"P25","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.101,0.125,0.107,0.09
"P25","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.016,0.234,0.585,0.306
"P25","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.011,0.03,0.051,0.07
"P25","Otros",0.027,0.016,0.065,0.098
"P25","En blanco",0.004,0.003,0.052,0.061
"P25","No sabe",0.021,0.029,0.098,0.251
"P29","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.723,0.038,0.026,0.061
"P29","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.063,0.34,0.103,0.108
"P29","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.106,0.166,0.105,0.059
"P29","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.024,0.293,0.59,0.299
"P29","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.01,0.005,0.08,0.078
"P29","Otros",0.041,0.084,0.045,0.098
"P29","En blanco",0.006,0.021,0.039,0.042
"P29","No sabe",0.027,0.053,0.012,0.255
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.225,0.605,0.031,0.052
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.044,0.368,0.535,0.288
"P34","En blanco",0.459,0.006,0.379,0.163
"P34","No sabe",0.272,0.021,0.055,0.497
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.889,0.077,0.05,0.089
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.055,0.658,0.176,0.159
"P35","En blanco",0.031,0.171,0.645,0.219
"P35","No sabe",0.025,0.094,0.129,0.533
