"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Otros","En blanco","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.892,0.904,0.726,0.805,0.943,0.859,0.467,0.663
"P06","Tiene dudas sobre si va a ir a  votar",0.097,0.068,0.263,0.16,0.012,0.055,0.311,0.259
"P06","Tiene Decidido que no va a ir a votar",0.011,0.028,0.011,0.035,0.045,0.086,0.222,0.078
"P07","Mucho",0.558,0.453,0.376,0.441,0.315,0.57,0.1,0.17
"P07","Bastante",0.236,0.341,0.448,0.251,0.347,0.17,0.404,0.277
"P07","Poco",0.151,0.139,0.132,0.175,0.257,0.187,0,0.318
"P07","Nada",0.037,0.05,0.03,0.109,0.018,0.02,0.488,0.18
"P07","No sabe",0.018,0.017,0.014,0.024,0.063,0.053,0.008,0.055
"P08","Siempre",0.285,0.283,0.315,0.229,0.252,0.521,0.049,0.105
"P08","Casi siempre",0.383,0.336,0.364,0.263,0.23,0.169,0.205,0.243
"P08","Casi nunca",0.267,0.283,0.212,0.308,0.38,0.248,0.221,0.453
"P08","Nunca, pero esta es una excepción",0.065,0.098,0.109,0.2,0.138,0.062,0.525,0.199
"P11","Unión por la Patria",0.711,0.03,0.14,0.059,0.447,0.176,0.255,0.083
"P11","Juntos por el Cambio",0.042,0.772,0.159,0.064,0.01,0.222,0.105,0.16
"P11","Juntos Somos Río Negro",0.091,0.052,0.516,0.085,0.062,0.188,0.197,0.044
"P11","Liberales",0.023,0.043,0.036,0.552,0.129,0.011,0,0.003
"P11","Izquierda",0.036,0.024,0.028,0.045,0.317,0.116,0,0.074
"P11","Otro",0.034,0.022,0.043,0.081,0.035,0.214,0.05,0.033
"P11","No sabe",0.063,0.057,0.078,0.114,0,0.073,0.393,0.603
"P12","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.759,0.037,0.163,0.025,0,0.05,0.059,0.019
"P12","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.174,0.007,0.084,0.034,0.284,0.228,0.017,0.058
"P12","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.004,0.775,0.115,0.019,0.097,0.039,0.195,0
"P12","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.014,0.127,0.143,0.014,0.01,0.344,0.117,0.128
"P12","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.019,0.017,0.415,0.004,0,0.069,0,0.071
"P12","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.016,0.023,0.05,0.899,0.077,0.121,0,0.105
"P12","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.002,0.002,0.021,0,0.347,0.015,0,0.01
"P12","En blanco",0,0.002,0.002,0.003,0.006,0.055,0.358,0.061
"P12","No sabe",0.012,0.01,0.007,0.002,0.179,0.079,0.254,0.548
"P16","Totalmente seguro",0.693,0.674,0.306,0.713,0.592,0.435,0.183,0.15
"P16","Bastante seguro",0.132,0.159,0.198,0.161,0.091,0.217,0.029,0.035
"P16","Algo seguro",0.112,0.108,0.361,0.06,0.124,0.097,0.029,0.184
"P16","Para nada seguro",0.063,0.059,0.135,0.066,0.193,0.251,0.759,0.631
"P17","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.709,0,0.253,0,0,0.143,0,0
"P17","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y por Unión por la Patria",0.164,0,0.024,0,0,0,0,0
"P17","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0,0.64,0.168,0,0,0,0,0.134
"P17","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0,0.153,0.129,0,0,0.119,0,0
"P17","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza",0,0,0.093,0.79,0,0,0,0
"P17","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda",0,0,0,0,0,0.127,0,0
"P17","En blanco",0,0.207,0.231,0.21,0,0.278,0,0.752
"P17","No sabe",0.127,0,0.102,0,0,0.333,0,0.114
"P20","Sí",0.416,0.548,0.535,0.533,0.694,0.788,0.426,0.526
"P20","No",0.584,0.452,0.465,0.467,0.306,0.212,0.574,0.474
"P21","Martín Soria a Diputado Nacional por Unión por la Patria",0.651,0.086,0.188,0.173,0.131,0.477,0.043,0.098
"P21","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.035,0.425,0.196,0.101,0.027,0.172,0.028,0.015
"P21","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.02,0.157,0.02,0.056,0.033,0.085,0,0.055
"P21","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.143,0.127,0.389,0.124,0,0.048,0.271,0
"P21","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.041,0.083,0.081,0.418,0.209,0,0,0.082
"P21","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.049,0,0.079,0.006,0.387,0.054,0,0.011
"P21","En blanco",0.019,0.035,0.011,0.07,0.032,0.035,0.212,0.027
"P21","No sabe",0.042,0.087,0.036,0.052,0.181,0.129,0.446,0.712
"P29","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.819,0.056,0.09,0.034,0.018,0.091,0.197,0.008
"P29","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.039,0.484,0.141,0.053,0.011,0.308,0.121,0.169
"P29","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.054,0.118,0.584,0.046,0.19,0.005,0,0.014
"P29","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.027,0.126,0.119,0.814,0.146,0.019,0,0.09
"P29","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.008,0.004,0.004,0.022,0.606,0,0,0.009
"P29","Otros",0.039,0.114,0.053,0.019,0,0.535,0,0.007
"P29","En blanco",0.003,0.029,0.004,0.007,0,0.031,0.435,0.034
"P29","No sabe",0.011,0.069,0.005,0.005,0.029,0.011,0.247,0.669
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.921,0.061,0.302,0.024,0.099,0.212,0.055,0.087
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.009,0.893,0.417,0.385,0.319,0.138,0.05,0.132
"P33","En blanco",0.004,0.017,0.117,0.316,0.178,0.186,0.302,0.149
"P33","No sabe",0.066,0.029,0.164,0.275,0.404,0.464,0.593,0.632
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.195,0.823,0.296,0.045,0.189,0.245,0.016,0.07
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.036,0.146,0.185,0.825,0.24,0.038,0.035,0.132
"P34","En blanco",0.464,0.015,0.192,0.11,0.325,0.209,0.902,0.195
"P34","No sabe",0.305,0.016,0.327,0.02,0.246,0.508,0.047,0.603
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.896,0.135,0.265,0.05,0.217,0.224,0.317,0.038
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.022,0.729,0.42,0.199,0.252,0.382,0.162,0.245
"P35","En blanco",0.026,0.068,0.207,0.491,0.354,0.147,0.234,0.191
"P35","No sabe",0.056,0.068,0.108,0.26,0.177,0.247,0.287,0.526
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.166,0.657,0.449,0.039,0.115,0.396,0.461,0.243
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.033,0.206,0.197,0.84,0.183,0.073,0,0.085
"P36","En blanco",0.57,0.076,0.262,0.081,0.522,0.233,0.22,0.221
"P36","No sabe",0.231,0.061,0.092,0.04,0.18,0.298,0.319,0.451
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.879,0.102,0.439,0.012,0.229,0.305,0.334,0.121
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.005,0.425,0.128,0.93,0.311,0.164,0.038,0.15
"P37","En blanco",0.054,0.267,0.234,0.043,0.272,0.106,0.293,0.302
"P37","No sabe",0.062,0.206,0.199,0.015,0.188,0.425,0.335,0.427
"P38","Lo votaría",0.932,0.072,0.256,0.021,0.016,0.252,0.398,0.058
"P38","Puede que lo vote",0.053,0.056,0.114,0.213,0.431,0.215,0.038,0.215
"P38","Nunca lo votaría",0.013,0.79,0.551,0.739,0.491,0.413,0.399,0.309
"P38","No sabe",0.002,0.082,0.079,0.027,0.062,0.12,0.165,0.418
"P39","Lo votaría",0.568,0.067,0.125,0.022,0.217,0.267,0,0.092
"P39","Puede que lo vote",0.284,0.015,0.055,0.054,0.171,0.191,0.562,0.182
"P39","Nunca lo votaría",0.111,0.851,0.721,0.826,0.612,0.49,0.194,0.261
"P39","No sabe",0.037,0.067,0.099,0.098,0,0.052,0.244,0.465
"P40","Lo votaría",0.062,0.823,0.325,0.195,0.202,0.073,0.035,0.09
"P40","Puede que lo vote",0.021,0.083,0.084,0.269,0.042,0.427,0.621,0.143
