"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.354,0.343,0.364,0.386,0.332,0.382,0.317,0.363,0.309,0.418,0.629,0.12,0.282,0.4,0.199,0.673,0.244,0.355,0.351,0.358,0.382,0.332
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.347,0.429,0.269,0.333,0.439,0.258,0.253,0.325,0.387,0.312,0.172,0.537,0.307,0.297,0.469,0.068,0.725,0.345,0.382,0.258,0.334,0.25
"En blanco",0.15,0.124,0.175,0.156,0.102,0.21,0.182,0.139,0.161,0.146,0.083,0.181,0.207,0.158,0.163,0.099,0.031,0.171,0.102,0.255,0.157,0.27
"No sabe",0.149,0.104,0.192,0.125,0.127,0.15,0.248,0.173,0.143,0.124,0.116,0.162,0.204,0.145,0.169,0.16,0,0.129,0.165,0.129,0.127,0.148
