"var","categoria","Sí","No"
"P06","Tiene Decidido que va a ir a votar",0.827,0.835
"P06","Tiene dudas sobre si va a ir a  votar",0.136,0.131
"P06","Tiene Decidido que no va a ir a votar",0.037,0.034
"P07","Mucho",0.414,0.455
"P07","Bastante",0.308,0.259
"P07","Poco",0.161,0.173
"P07","Nada",0.095,0.084
"P07","No sabe",0.022,0.029
"P08","Siempre",0.289,0.232
"P08","Casi siempre",0.303,0.305
"P08","Casi nunca",0.265,0.291
"P08","Nunca, pero esta es una excepción",0.143,0.172
"P11","Unión por la Patria",0.17,0.32
"P11","Juntos por el Cambio",0.228,0.247
"P11","Juntos Somos Río Negro",0.131,0.088
"P11","Liberales",0.19,0.131
"P11","Izquierda",0.064,0.038
"P11","Otro",0.066,0.042
"P11","No sabe",0.151,0.134
"P16","Totalmente seguro",0.573,0.604
"P16","Bastante seguro",0.154,0.134
"P16","Algo seguro",0.132,0.113
"P16","Para nada seguro",0.141,0.149
"P25","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.217,0.326
"P25","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.241,0.212
"P25","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.072,0.067
"P25","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.266,0.25
"P25","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.045,0.021
"P25","Otros",0.059,0.017
"P25","En blanco",0.021,0.031
"P25","No sabe",0.079,0.076
"P29","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.212,0.326
"P29","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.204,0.157
"P29","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.074,0.099
"P29","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.285,0.248
"P29","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.044,0.015
"P29","Otros",0.07,0.069
"P29","En blanco",0.019,0.029
"P29","No sabe",0.092,0.057
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.272,0.38
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.386,0.322
"P33","En blanco",0.139,0.109
"P33","No sabe",0.203,0.189
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.344,0.261
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.293,0.253
"P34","En blanco",0.216,0.265
"P34","No sabe",0.147,0.221
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.316,0.378
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.321,0.28
"P35","En blanco",0.198,0.191
"P35","No sabe",0.165,0.151
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.318,0.275
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.306,0.255
"P36","En blanco",0.231,0.31
"P36","No sabe",0.145,0.16
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.318,0.412
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.404,0.308
"P37","En blanco",0.146,0.128
"P37","No sabe",0.132,0.152
"P38","Lo votaría",0.298,0.409
"P38","Puede que lo vote",0.145,0.088
"P38","Nunca lo votaría",0.491,0.428
"P38","No sabe",0.066,0.075
"P39","Lo votaría",0.187,0.282
"P39","Puede que lo vote",0.145,0.129
"P39","Nunca lo votaría",0.581,0.494
"P39","No sabe",0.087,0.095
"P40","Lo votaría",0.317,0.299
"P40","Puede que lo vote",0.166,0.081
"P40","Nunca lo votaría",0.466,0.513
"P40","No sabe",0.051,0.107
"P41","Lo votaría",0.242,0.183
"P41","Puede que lo vote",0.167,0.155
"P41","Nunca lo votaría",0.525,0.521
"P41","No sabe",0.066,0.141
"P42","Lo votaría",0.115,0.07
"P42","Puede que lo vote",0.159,0.15
"P42","Nunca lo votaría",0.557,0.488
"P42","No sabe",0.169,0.292
"P43","Lo votaría",0.318,0.216
"P43","Puede que lo vote",0.133,0.143
"P43","Nunca lo votaría",0.498,0.544
"P43","No sabe",0.051,0.097
"P44","Lo votaría",0.105,0.069
"P44","Puede que lo vote",0.152,0.196
"P44","Nunca lo votaría",0.653,0.61
"P44","No sabe",0.09,0.125
"P45","Si",0.435,0.419
"P45","No",0.565,0.581
