"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta"
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.303,0.284,0.321,0.222,0.275,0.372,0.418,0.207,0.365,0.328,0.19,0.499,0.465,0.324,0.463,0.171,0.175,0.308,0.299,0.31,0.279,0.333
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.267,0.337,0.201,0.301,0.342,0.15,0.173,0.292,0.283,0.204,0.156,0.351,0.263,0.224,0.331,0.081,0.676,0.225,0.303,0.24,0.313,0.152
"En blanco",0.228,0.236,0.221,0.283,0.192,0.251,0.201,0.237,0.195,0.273,0.384,0.07,0.047,0.229,0.092,0.434,0.086,0.265,0.187,0.26,0.209,0.352
"No sabe",0.202,0.143,0.257,0.194,0.191,0.227,0.208,0.264,0.157,0.195,0.27,0.08,0.225,0.223,0.114,0.314,0.063,0.202,0.211,0.19,0.199,0.163
