"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta"
"Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.233,0.234,0.233,0.218,0.217,0.268,0.255,0.281,0.206,0.213,0.451,0.078,0.181,0.298,0.103,0.511,0.145,0.203,0.233,0.166,0.255,0.343
"Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.079,0.077,0.081,0.077,0.078,0.101,0.054,0.061,0.058,0.144,0.135,0.033,0.076,0.058,0.042,0.304,0.036,0.112,0.072,0.037,0.075,0.074
"Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.195,0.212,0.179,0.097,0.158,0.3,0.329,0.16,0.21,0.216,0.084,0.411,0.253,0.19,0.342,0.018,0.096,0.204,0.198,0.128,0.245,0.153
"Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.088,0.088,0.087,0.08,0.099,0.076,0.088,0.058,0.104,0.102,0.051,0.155,0.134,0.101,0.133,0,0.01,0.093,0.067,0.164,0.094,0.116
"Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.253,0.296,0.212,0.333,0.316,0.118,0.119,0.274,0.276,0.18,0.178,0.284,0.219,0.192,0.306,0.07,0.669,0.225,0.273,0.309,0.251,0.17
"Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.024,0.02,0.029,0.024,0.024,0.033,0.012,0.021,0.021,0.034,0.01,0.005,0.019,0.019,0.005,0.031,0.02,0.044,0.021,0.007,0.015,0.015
"En blanco",0.043,0.033,0.052,0.047,0.047,0.028,0.05,0.063,0.029,0.042,0.049,0.014,0.024,0.055,0.02,0.003,0.016,0.031,0.05,0.068,0.032,0.028
"No sabe",0.085,0.04,0.127,0.124,0.061,0.076,0.093,0.082,0.096,0.069,0.042,0.02,0.094,0.087,0.049,0.063,0.008,0.088,0.086,0.121,0.033,0.101
