"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta"
"Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.302,0.241,0.361,0.294,0.253,0.319,0.432,0.184,0.362,0.366,0.194,0.458,0.519,0.309,0.458,0.16,0.067,0.275,0.31,0.269,0.368,0.285
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.278,0.348,0.21,0.373,0.313,0.162,0.181,0.28,0.315,0.208,0.163,0.391,0.2,0.266,0.319,0.102,0.64,0.258,0.291,0.304,0.249,0.264
"En blanco",0.267,0.298,0.238,0.224,0.256,0.344,0.26,0.349,0.2,0.27,0.429,0.085,0.152,0.303,0.093,0.497,0.18,0.323,0.24,0.209,0.189,0.402
"No sabe",0.153,0.113,0.191,0.109,0.178,0.175,0.127,0.187,0.123,0.156,0.214,0.066,0.129,0.122,0.13,0.241,0.113,0.144,0.159,0.218,0.194,0.049
