"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Otros","En blanco","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.901,0.882,0.753,0.84,0.969,0.847,0.452,0.697
"P06","Tiene dudas sobre si va a ir a  votar",0.091,0.087,0.212,0.126,0.031,0.105,0.161,0.276
"P06","Tiene Decidido que no va a ir a votar",0.008,0.031,0.035,0.034,0,0.048,0.387,0.027
"P07","Mucho",0.557,0.447,0.459,0.443,0.302,0.358,0.175,0.177
"P07","Bastante",0.244,0.403,0.253,0.285,0.376,0.308,0.182,0.299
"P07","Poco",0.14,0.103,0.161,0.186,0.12,0.245,0.121,0.312
"P07","Nada",0.049,0.028,0.079,0.055,0.182,0.055,0.512,0.167
"P07","No sabe",0.01,0.019,0.048,0.031,0.02,0.034,0.01,0.045
"P08","Siempre",0.29,0.302,0.36,0.205,0.483,0.262,0.104,0.135
"P08","Casi siempre",0.362,0.381,0.264,0.307,0.115,0.342,0.241,0.254
"P08","Casi nunca",0.278,0.269,0.257,0.308,0.253,0.294,0.316,0.402
"P08","Nunca, pero esta es una excepción",0.07,0.048,0.119,0.18,0.149,0.102,0.339,0.209
"P11","Unión por la Patria",0.721,0.059,0.194,0.063,0.356,0.151,0.305,0.054
"P11","Juntos por el Cambio",0.041,0.699,0.219,0.121,0.029,0.375,0.303,0.185
"P11","Juntos Somos Río Negro",0.076,0.084,0.425,0.073,0.02,0.147,0.032,0.143
"P11","Liberales",0.028,0.007,0.042,0.565,0.021,0.062,0,0.018
"P11","Izquierda",0.065,0.009,0.021,0.045,0.388,0.073,0.091,0.013
"P11","Otro",0.009,0.06,0.039,0.054,0.17,0.139,0.127,0.015
"P11","No sabe",0.06,0.082,0.06,0.079,0.016,0.053,0.142,0.572
"P12","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.749,0.073,0.144,0.024,0,0.099,0,0.028
"P12","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.133,0.02,0.093,0.023,0.434,0.255,0.073,0.072
"P12","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.041,0.468,0.219,0.124,0.029,0.389,0.291,0.226
"P12","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.006,0.322,0.067,0.013,0.009,0.055,0.03,0.058
"P12","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.025,0.006,0.323,0.015,0,0.034,0,0.091
"P12","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.027,0.074,0.064,0.796,0.182,0.086,0.075,0.015
"P12","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.005,0.002,0.02,0.002,0.33,0.015,0,0.006
"P12","En blanco",0.009,0.002,0.002,0.002,0.007,0.018,0.109,0.066
"P12","No sabe",0.005,0.033,0.068,0.001,0.009,0.049,0.422,0.438
"P16","Totalmente seguro",0.739,0.589,0.404,0.727,0.746,0.436,0.344,0.152
"P16","Bastante seguro",0.124,0.187,0.197,0.109,0.111,0.138,0.127,0.054
"P16","Algo seguro",0.08,0.128,0.26,0.069,0.129,0.23,0.095,0.26
"P16","Para nada seguro",0.057,0.096,0.139,0.095,0.014,0.196,0.434,0.534
"P17","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.55,0.237,0.18,0.227,0,0,0,0
"P17","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y por Unión por la Patria",0,0,0.041,0,0,0,0,0.069
"P17","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0,0,0.201,0.091,0,0,0,0.263
"P17","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.304,0.473,0.112,0,0,0,0,0
"P17","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza",0,0,0.047,0.682,0,0,0,0
"P17","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda",0.054,0,0,0,0,0,0,0
"P17","En blanco",0,0,0.309,0,0,0.446,0,0.618
"P17","No sabe",0.092,0.29,0.11,0,0,0.554,0,0.05
"P20","Sí",0.419,0.592,0.456,0.56,0.761,0.529,0.422,0.643
"P20","No",0.581,0.408,0.544,0.44,0.239,0.471,0.578,0.357
"P21","Martín Soria a Diputado Nacional por Unión por la Patria",0.652,0.138,0.153,0.171,0.099,0.415,0.052,0.119
"P21","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.073,0.411,0.171,0.144,0.014,0.147,0.209,0.038
"P21","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.003,0.151,0.057,0.014,0.269,0.097,0,0.123
"P21","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.1,0.141,0.391,0.125,0,0.121,0.229,0.016
"P21","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.047,0.052,0.042,0.425,0.029,0.095,0,0.051
"P21","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.052,0,0.085,0.003,0.36,0.043,0.066,0
"P21","En blanco",0.02,0.025,0.01,0.067,0.033,0.006,0.381,0.033
"P21","No sabe",0.053,0.082,0.091,0.051,0.196,0.076,0.063,0.62
"P25","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.849,0.06,0.121,0.029,0.069,0.155,0.04,0.036
"P25","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.048,0.617,0.216,0.108,0.029,0.369,0.292,0.195
"P25","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.037,0.085,0.509,0.048,0.015,0.082,0.02,0.006
"P25","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.032,0.074,0.092,0.766,0.182,0.068,0.075,0.015
"P25","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.002,0.002,0.052,0.019,0.681,0,0,0.012
"P25","Otros",0.014,0.072,0.001,0.003,0,0.318,0.057,0.006
"P25","En blanco",0.015,0.014,0,0,0,0,0.396,0.064
"P25","No sabe",0.003,0.076,0.009,0.027,0.024,0.008,0.12,0.666
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.89,0.116,0.29,0.032,0.111,0.194,0.085,0.108
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.052,0.695,0.506,0.436,0.065,0.445,0.333,0.242
"P33","En blanco",0.012,0.069,0.105,0.289,0.314,0.078,0.207,0.018
"P33","No sabe",0.046,0.12,0.099,0.243,0.51,0.283,0.375,0.632
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.21,0.685,0.418,0.093,0.058,0.412,0.33,0.219
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.033,0.129,0.212,0.82,0.039,0.045,0.007,0.052
"P34","En blanco",0.48,0.07,0.138,0.072,0.597,0.214,0.441,0.184
"P34","No sabe",0.277,0.116,0.232,0.015,0.306,0.329,0.222,0.545
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.865,0.151,0.294,0.044,0.389,0.248,0.218,0.119
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.048,0.813,0.337,0.282,0.077,0.288,0.116,0.196
"P35","En blanco",0.048,0.011,0.199,0.454,0.395,0.167,0.287,0.15
"P35","No sabe",0.039,0.025,0.17,0.22,0.139,0.297,0.379,0.535
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.198,0.788,0.406,0.066,0.051,0.319,0.142,0.254
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.046,0.14,0.227,0.8,0.204,0.04,0.076,0.075
"P36","En blanco",0.526,0.037,0.267,0.078,0.519,0.45,0.356,0.233
"P36","No sabe",0.23,0.035,0.1,0.056,0.226,0.191,0.426,0.438
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.817,0.179,0.396,0.036,0.246,0.369,0.124,0.183
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.028,0.374,0.163,0.903,0.309,0.207,0.023,0.087
"P37","En blanco",0.091,0.268,0.189,0.022,0.277,0.174,0.382,0.314
"P37","No sabe",0.064,0.179,0.252,0.039,0.168,0.25,0.471,0.416
"P38","Lo votaría",0.886,0.15,0.27,0.031,0.038,0.243,0.125,0.15
"P38","Puede que lo vote",0.03,0.098,0.125,0.184,0.452,0.107,0,0.229
"P38","Nunca lo votaría",0.041,0.706,0.569,0.717,0.472,0.578,0.755,0.298
"P38","No sabe",0.043,0.046,0.036,0.068,0.038,0.072,0.12,0.323
"P39","Lo votaría",0.547,0.076,0.177,0.026,0.295,0.237,0.179,0.072
"P39","Puede que lo vote",0.248,0.038,0.077,0.043,0.122,0.211,0.067,0.316
"P39","Nunca lo votaría",0.149,0.832,0.654,0.806,0.583,0.512,0.754,0.261
"P39","No sabe",0.056,0.054,0.092,0.125,0,0.04,0,0.351
"P40","Lo votaría",0.087,0.687,0.371,0.288,0.043,0.419,0.44,0.137
"P40","Puede que lo vote",0.017,0.144,0.077,0.252,0.015,0.103,0.129,0.257
"P40","Nunca lo votaría",0.837,0.135,0.418,0.383,0.927,0.354,0.431,0.32
"P40","No sabe",0.059,0.034,0.134,0.077,0.015,0.124,0,0.286
"P41","Lo votaría",0.021,0.721,0.179,0.13,0,0.204,0.141,0.083
"P41","Puede que lo vote",0.061,0.155,0.294,0.177,0.053,0.364,0.275,0.28
"P41","Nunca lo votaría",0.8,0.108,0.4,0.578,0.91,0.305,0.584,0.346
"P41","No sabe",0.118,0.016,0.127,0.115,0.037,0.127,0,0.291
"P42","Lo votaría",0.016,0.192,0.474,0.085,0.015,0.145,0,0.108
"P42","Puede que lo vote",0.163,0.133,0.218,0.137,0.032,0.167,0.168,0.099
"P42","Nunca lo votaría",0.54,0.493,0.201,0.592,0.79,0.49,0.832,0.32
"P42","No sabe",0.281,0.182,0.107,0.186,0.163,0.198,0,0.473
"P43","Lo votaría",0.012,0.157,0.126,0.815,0.174,0.042,0.207,0.044
"P43","Puede que lo vote",0.061,0.251,0.207,0.077,0.008,0.32,0.105,0.164
"P43","Nunca lo votaría",0.842,0.544,0.595,0.071,0.78,0.607,0.688,0.482
"P43","No sabe",0.085,0.048,0.072,0.037,0.038,0.031,0,0.31
"P44","Lo votaría",0.071,0.07,0.038,0.115,0.358,0,0,0.132
"P44","Puede que lo vote",0.298,0.075,0.093,0.103,0.255,0.187,0.16,0.182
"P44","Nunca lo votaría",0.485,0.787,0.718,0.73,0.349,0.692,0.744,0.374
"P44","No sabe",0.146,0.068,0.151,0.052,0.038,0.121,0.096,0.312
"P45","Si",0.426,0.469,0.43,0.429,0.295,0.533,0.341,0.282
"P45","No",0.574,0.531,0.57,0.571,0.705,0.467,0.659,0.718
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.764,0.075,0.194,0.027,0,0.099,0,0.028
"PRESIDENTE","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.133,0.02,0.108,0.023,0.434,0.255,0.073,0.076
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.041,0.468,0.28,0.125,0.029,0.389,0.291,0.241
"PRESIDENTE","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.012,0.324,0.116,0.012,0.009,0.056,0.03,0.058
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.027,0.074,0.078,0.808,0.182,0.086,0.075,0.015
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.006,0.002,0.02,0.002,0.33,0.015,0,0.006
